Team ID,Squad,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK
db3b9613,es Atlético Madrid,0.67,0.5,1.17,0.67,1.17
206d90db,es Barcelona,2.0,1.67,3.67,2.0,3.67
054efa67,de Bayern Munich,2.1,1.9,4.0,2.0,3.9
add600ae,de Dortmund,1.37,1.25,2.62,1.37,2.62
18050b20,dk FC Copenhagen,0.17,0.17,0.33,0.17,0.33
d609edc0,it Inter,1.46,1.31,2.77,1.38,2.69
b8fd03ef,eng Manchester City,2.38,1.77,4.15,2.23,4.0
d48ad4ff,it Napoli,2.6,2.0,4.6,2.2,4.2
e2d8892c,fr Paris S-G,1.87,1.5,3.38,1.75,3.25
5e876ee6,pt Porto,1.5,0.87,2.37,1.13,2.0
acbb6a5b,de RB Leipzig,1.62,1.5,3.12,1.62,3.12
53a2f082,es Real Madrid,2.17,1.75,3.92,1.92,3.67
