Player ID,Player,Pos,Squad,Sh/90,SoT/90,SoT%,G/Sh,G/SoT
481c9ece,Denzel Dumfries,DF,it Inter,1.12,0.51,45.5,0.09,0.2
3bb7f478,Edin Džeko,FW,it Inter,2.51,1.2,47.8,0.17,0.36
3bb7b8b4,Ederson,GK,eng Manchester City,0.0,0.0,,,
5b92d896,Hugo Ekitike,"MF,FW",fr Paris S-G,2.9,2.9,100.0,0.0,0.0
cf007308,Elif Elmas,"FW,MF",it Napoli,1.26,0.32,25.0,0.0,0.0
577efaec,Stephen Eustáquio,MF,pt Porto,1.82,0.91,50.0,0.17,0.33
6f3cc2fe,Evanilson,FW,pt Porto,1.58,0.35,22.2,0.11,0.5
762179d9,Rasmus Falk,MF,dk FC Copenhagen,0.48,0.0,0.0,0.0,
0ba976e4,Ansu Fati,FW,es Barcelona,4.8,0.74,15.4,0.0,0.0
51a3c4c8,Felipe,DF,es Atlético Madrid,2.0,0.0,0.0,0.0,
8aafd64f,João Félix,FW,es Atlético Madrid,2.9,1.24,42.9,0.0,0.0
ed1e53f3,Phil Foden,"MF,FW",eng Manchester City,2.11,1.17,55.6,0.11,0.2
58c6b67c,Bernardo Folha,MF,pt Porto,0.0,0.0,,,
9a2e0ccc,Emil Forsberg,"MF,FW",de RB Leipzig,1.34,0.9,66.7,0.17,0.25
86df4d6b,André Franco,MF,pt Porto,0.0,0.0,,,
3b387cc7,Gianluca Gaetano,MF,it Napoli,0.0,0.0,,,
ce30bfc8,Roberto Gagliardini,MF,it Inter,0.78,0.78,100.0,0.0,0.0
5b3d1a7a,Galeno,"FW,MF",pt Porto,2.4,0.8,33.3,0.13,0.4
2bed3eab,Eric García,DF,es Barcelona,0.0,0.0,,,
19cae58d,Gavi,MF,es Barcelona,0.55,0.0,0.0,0.0,
88e357ef,Serge Gnabry,"FW,MF",de Bayern Munich,2.62,1.05,40.0,0.2,0.5
01e5f06e,Sergio Gómez,"DF,MF",eng Manchester City,2.07,0.59,28.6,0.0,0.0
cc86b9a3,Leon Goretzka,MF,de Bayern Munich,2.38,1.04,43.8,0.13,0.29
2d970560,Robin Gosens,DF,it Inter,0.85,0.85,100.0,0.25,0.25
62182b1d,Kamil Grabara,GK,dk FC Copenhagen,0.0,0.0,,,
b8e740fb,Ryan Gravenberch,MF,de Bayern Munich,1.42,0.71,50.0,0.0,0.0
3f034750,Ivo Grbić,GK,es Atlético Madrid,0.0,0.0,,,
b0b4fd3e,Jack Grealish,FW,eng Manchester City,1.54,0.29,18.8,0.0,0.0
df69b544,Antoine Griezmann,"FW,MF",es Atlético Madrid,4.43,2.44,55.0,0.05,0.09
8b8e759d,Marko Grujić,MF,pt Porto,2.27,0.65,28.6,0.0,0.0
048a1cbc,Raphaël Guerreiro,DF,de Dortmund,1.13,0.56,50.0,0.33,0.67
bcb2ccd8,Péter Gulácsi,GK,de RB Leipzig,0.0,0.0,,,
819b3158,İlkay Gündoğan,MF,eng Manchester City,1.72,0.72,42.1,0.05,0.13
5ad50391,Joško Gvardiol,DF,de RB Leipzig,0.33,0.33,100.0,1.0,1.0
1f44ac21,Erling Haaland,FW,eng Manchester City,4.17,2.68,64.1,0.28,0.44
92432bc6,Amadou Haidara,MF,de RB Leipzig,1.59,0.53,33.3,0.0,0.0
e42d61c7,Achraf Hakimi,"DF,MF",fr Paris S-G,0.62,0.31,50.0,0.0,0.0
ba115a40,Sébastien Haller,FW,de Dortmund,1.26,0.0,0.0,0.0,
8ff2354e,Marcel Halstenberg,DF,de RB Leipzig,0.54,0.0,0.0,0.0,
a39bb753,Eden Hazard,"FW,MF",es Real Madrid,1.36,0.68,50.0,0.5,1.0
50871bcc,Thorgan Hazard,"DF,FW",de Dortmund,1.8,0.45,25.0,0.25,1.0
0a89e877,Benjamin Henrichs,"DF,MF",de RB Leipzig,0.89,0.0,0.0,0.0,
555f3a0b,Mario Hermoso,DF,es Atlético Madrid,2.28,0.57,25.0,0.25,1.0
c3ee18ef,Lucas Hernández,DF,de Bayern Munich,0.52,0.52,100.0,1.0,1.0
05d548d8,Mats Hummels,DF,de Dortmund,0.29,0.0,0.0,0.0,
213f0daf,Elias Jelert,"DF,MF",dk FC Copenhagen,0.0,0.0,,,
cd1629bc,Valdemar Jensen,DF,dk FC Copenhagen,0.89,0.0,0.0,0.0,
79083382,Juan Jesus,DF,it Napoli,0.0,0.0,,,
c16c4e3b,Ísak Jóhannesson,"FW,MF",dk FC Copenhagen,0.93,0.62,66.7,0.0,0.0
1bacc518,Frenkie de Jong,MF,es Barcelona,0.0,0.0,,,
7111d552,Vinicius Júnior,FW,es Real Madrid,3.52,1.76,50.0,0.18,0.37
b825a650,Kevin Kampl,MF,de RB Leipzig,0.0,0.0,,,
23a10591,Mamoudou Karamoko,FW,dk FC Copenhagen,0.0,0.0,,,
05e19d6a,Franck Kessié,MF,es Barcelona,0.99,0.66,66.7,0.33,0.5
