Player ID,Player,Pos,Squad,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK
31c69ef1,Rúben Dias,DF,eng Manchester City,0.09,0.0,0.09,0.09,0.09
f179ee11,Kevin Diks,DF,dk FC Copenhagen,0.0,0.0,0.0,0.0,0.0
970b8574,Federico Dimarco,DF,it Inter,0.0,0.62,0.62,0.0,0.62
08f5afaa,Gianluigi Donnarumma,GK,fr Paris S-G,0.0,0.0,0.0,0.0,0.0
481c9ece,Denzel Dumfries,DF,it Inter,0.1,0.0,0.1,0.1,0.1
3bb7f478,Edin Džeko,FW,it Inter,0.44,0.11,0.55,0.44,0.55
3bb7b8b4,Ederson,GK,eng Manchester City,0.0,0.0,0.0,0.0,0.0
5b92d896,Hugo Ekitike,"MF,FW",fr Paris S-G,0.0,0.0,0.0,0.0,0.0
cf007308,Elif Elmas,"FW,MF",it Napoli,0.0,0.0,0.0,0.0,0.0
577efaec,Stephen Eustáquio,MF,pt Porto,0.3,0.0,0.3,0.3,0.3
6f3cc2fe,Evanilson,FW,pt Porto,0.18,0.18,0.35,0.18,0.35
762179d9,Rasmus Falk,MF,dk FC Copenhagen,0.0,0.0,0.0,0.0,0.0
0ba976e4,Ansu Fati,FW,es Barcelona,0.0,0.37,0.37,0.0,0.37
51a3c4c8,Felipe,DF,es Atlético Madrid,0.0,0.0,0.0,0.0,0.0
8aafd64f,João Félix,FW,es Atlético Madrid,0.0,0.0,0.0,0.0,0.0
ed1e53f3,Phil Foden,"MF,FW",eng Manchester City,0.23,0.47,0.7,0.23,0.7
58c6b67c,Bernardo Folha,MF,pt Porto,0.0,0.0,0.0,0.0,0.0
9a2e0ccc,Emil Forsberg,"MF,FW",de RB Leipzig,0.22,0.0,0.22,0.22,0.22
86df4d6b,André Franco,MF,pt Porto,0.0,0.0,0.0,0.0,0.0
3b387cc7,Gianluca Gaetano,MF,it Napoli,0.0,0.0,0.0,0.0,0.0
ce30bfc8,Roberto Gagliardini,MF,it Inter,0.0,0.0,0.0,0.0,0.0
5b3d1a7a,Galeno,"FW,MF",pt Porto,0.32,0.16,0.48,0.32,0.48
2bed3eab,Eric García,DF,es Barcelona,0.0,0.0,0.0,0.0,0.0
