Player ID,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Player Link
0fdcef0e,37,Kristjan Asllani,al ALB,MF,it Inter,20,2002,5,1,129,1.4,0,0,0,0,0,0,0,0,0.7,0.7,0.3,1.0,0,3,2,0.00,0.00,0.00,0.00,0.00,0.51,0.19,0.70,0.51,0.70,Matches,https://fbref.com/en/players/0fdcef0e/Kristjan-Asllani
92fffd91,38,Omer Atzili,il ISR,"FW,MF",il Maccabi Haifa,29,1993,6,3,308,3.4,2,1,3,2,0,0,3,0,0.7,0.7,0.7,1.3,6,12,28,0.58,0.29,0.88,0.58,0.88,0.20,0.19,0.39,0.20,0.39,Matches,https://fbref.com/en/players/92fffd91/Omer-Atzili
d5dd5f1f,39,Pierre-Emerick Aubameyang,ga GAB,FW,eng Chelsea,33,1989,6,6,403,4.5,2,1,3,2,0,0,0,0,2.3,2.3,0.5,2.8,8,11,31,0.45,0.22,0.67,0.45,0.67,0.51,0.11,0.62,0.51,0.62,Matches,https://fbref.com/en/players/d5dd5f1f/Pierre-Emerick-Aubameyang
32feb0cf,40,Lynnt Audoor,be BEL,MF,be Club Brugge,18,2003,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,https://fbref.com/en/players/32feb0cf/Lynnt-Audoor
f0677ed7,41,Fredrik Aursnes,no NOR,"FW,MF",pt Benfica,26,1995,10,7,620,6.9,1,0,1,1,0,0,0,0,0.5,0.5,0.6,1.1,12,30,45,0.15,0.00,0.15,0.15,0.15,0.07,0.09,0.16,0.07,0.16,Matches,https://fbref.com/en/players/f0677ed7/Fredrik-Aursnes
10549b49,42,Sardar Azmoun,ir IRN,FW,de Leverkusen,27,1995,2,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.98,0.98,0.00,0.98,Matches,https://fbref.com/en/players/10549b49/Sardar-Azmoun
53cad200,43,César Azpilicueta,es ESP,DF,eng Chelsea,32,1989,5,3,260,2.9,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,4,15,15,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.00,0.07,Matches,https://fbref.com/en/players/53cad200/Cesar-Azpilicueta
ca002b1a,44,Youri Baas,nl NED,DF,nl Ajax,19,2003,3,0,44,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,1,3,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.16,0.16,0.16,Matches,https://fbref.com/en/players/ca002b1a/Youri-Baas
78f21137,45,Alexander Bah,dk DEN,DF,pt Benfica,24,1997,8,8,654,7.3,0,2,2,0,0,0,1,0,0.1,0.1,1.0,1.0,16,44,34,0.00,0.28,0.28,0.00,0.28,0.01,0.13,0.14,0.01,0.14,Matches,https://fbref.com/en/players/78f21137/Alexander-Bah
a1232f4e,46,Eric Bailly,ci CIV,DF,fr Marseille,28,1994,5,5,302,3.4,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,12,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,https://fbref.com/en/players/a1232f4e/Eric-Bailly
32e8417f,47,Stefan Bajcetic,es ESP,MF,eng Liverpool,17,2004,4,1,109,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,6,1,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches,https://fbref.com/en/players/32e8417f/Stefan-Bajcetic
a8567629,48,Mitchel Bakker,nl NED,"MF,DF",de Leverkusen,22,2000,5,4,338,3.8,0,0,0,0,0,0,2,0,0.4,0.4,0.3,0.7,9,21,32,0.00,0.00,0.00,0.00,0.00,0.11,0.07,0.18,0.11,0.18,Matches,https://fbref.com/en/players/a8567629/Mitchel-Bakker
5ccc9672,49,Alejandro Balde,es ESP,DF,es Barcelona,18,2003,4,1,171,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,15,11,17,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,Matches,https://fbref.com/en/players/5ccc9672/Alejandro-Balde
