Player ID,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,Player Link
1339039e,1,Liel Abada,il ISR,"FW,MF",sct Celtic,20,2001,2.4,0,5,1,20.0,2.07,0.41,0.00,0.00,18.9,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches,https://fbref.com/en/players/1339039e/Liel-Abada
8f5cdf66,2,Oliver Abildgaard,dk DEN,MF,sct Celtic,26,1996,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,https://fbref.com/en/players/8f5cdf66/Oliver-Abildgaard
f417a1fa,3,Mohammad Abu Fani,il ISR,MF,il Maccabi Haifa,24,1998,4.4,0,11,2,18.2,2.48,0.45,0.00,0.00,25.1,1,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches,https://fbref.com/en/players/f417a1fa/Mohammad-Abu-Fani
b96b595c,4,Francesco Acerbi,it ITA,DF,it Inter,34,1988,10.2,0,8,2,25.0,0.78,0.20,0.00,0.00,21.5,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches,https://fbref.com/en/players/b96b595c/Francesco-Acerbi
81442ecb,5,Marcos Acuña,ar ARG,"DF,MF",es Sevilla,30,1991,2.4,0,2,0,0.0,0.82,0.00,0.00,,27.4,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,https://fbref.com/en/players/81442ecb/Marcos-Acuna
82e12fe7,6,Junior Adamu,at AUT,FW,at RB Salzburg,21,2001,2.3,1,5,3,60.0,2.21,1.32,0.20,0.33,8.4,0,0,0,1.3,1.3,0.26,-0.3,-0.3,Matches,https://fbref.com/en/players/82e12fe7/Junior-Adamu
65d62814,7,Antonio Adán,es ESP,GK,pt Sporting CP,35,1987,4.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,https://fbref.com/en/players/65d62814/Antonio-Adan
ee926a02,8,Arijan Ademi,mk MKD,MF,hr Dinamo Zagreb,31,1991,5.2,0,6,2,33.3,1.15,0.38,0.00,0.00,16.0,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches,https://fbref.com/en/players/ee926a02/Arijan-Ademi
501055d8,9,Karim Adeyemi,de GER,"FW,MF",de Dortmund,20,2002,4.2,2,11,3,27.3,2.63,0.72,0.18,0.67,16.9,0,0,0,1.8,1.8,0.16,+0.2,+0.2,Matches,https://fbref.com/en/players/501055d8/Karim-Adeyemi
dcfb17f4,10,Amine Adli,ma MAR,"FW,MF",de Leverkusen,22,2000,1.3,0,3,1,33.3,2.23,0.74,0.00,0.00,15.6,0,0,0,0.7,0.7,0.22,-0.7,-0.7,Matches,https://fbref.com/en/players/dcfb17f4/Amine-Adli
89ac64a6,11,Manuel Akanji,ch SUI,DF,eng Manchester City,27,1995,10.5,1,7,4,57.1,0.67,0.38,0.14,0.25,16.4,0,0,0,0.9,0.9,0.13,+0.1,+0.1,Matches,https://fbref.com/en/players/89ac64a6/Manuel-Akanji
eaeca114,12,Nathan Aké,nl NED,DF,eng Manchester City,27,1995,6.8,0,4,1,25.0,0.59,0.15,0.00,0.00,15.0,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches,https://fbref.com/en/players/eaeca114/Nathan-Ake
05439de2,13,David Alaba,at AUT,DF,es Real Madrid,30,1992,7.9,0,5,3,60.0,0.63,0.38,0.00,0.00,23.9,3,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches,https://fbref.com/en/players/05439de2/David-Alaba
834d0be5,14,Lucas Alario,ar ARG,"FW,MF",de Eint Frankfurt,29,1992,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,https://fbref.com/en/players/834d0be5/Lucas-Alario
4601e194,15,Jordi Alba,es ESP,DF,es Barcelona,33,1989,1.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,https://fbref.com/en/players/4601e194/Jordi-Alba
77e84962,16,Thiago Alcántara,es ESP,MF,eng Liverpool,31,1991,3.4,0,3,2,66.7,0.88,0.59,0.00,0.00,24.8,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches,https://fbref.com/en/players/77e84962/Thiago-Alcantara
cd1acf9d,17,Trent Alexander-Arnold,eng ENG,DF,eng Liverpool,23,1998,6.9,1,9,4,44.4,1.30,0.58,0.11,0.25,23.9,3,0,0,0.3,0.3,0.04,+0.7,+0.7,Matches,https://fbref.com/en/players/cd1acf9d/Trent-Alexander-Arnold
4288f249,18,Sotiris Alexandropoulos,gr GRE,MF,pt Sporting CP,20,2001,1.3,0,3,1,33.3,2.23,0.74,0.00,0.00,31.1,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,https://fbref.com/en/players/4288f249/Sotiris-Alexandropoulos
00f518d8,19,Faride Alidou,de GER,"DF,FW",de Eint Frankfurt,21,2001,0.8,1,2,2,100.0,2.47,2.47,0.50,0.50,16.1,0,0,0,0.3,0.3,0.13,+0.7,+0.7,Matches,https://fbref.com/en/players/00f518d8/Faride-Alidou
7a2e46a8,20,Alisson,br BRA,GK,eng Liverpool,29,1992,8.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,https://fbref.com/en/players/7a2e46a8/Alisson
