Team ID,Squad,Sh/90,SoT/90,SoT%,G/Sh,G/SoT
19c3f8c4,nl Ajax,10.67,3.67,34.4,0.16,0.45
db3b9613,es Atlético Madrid,15.83,5.67,35.8,0.04,0.12
206d90db,es Barcelona,15.0,5.5,36.7,0.13,0.36
054efa67,de Bayern Munich,16.7,7.2,43.1,0.12,0.28
a77c513e,pt Benfica,13.3,4.8,36.1,0.15,0.42
b81aa4fa,sct Celtic,13.67,4.83,35.4,0.04,0.1
cff3d9bb,eng Chelsea,15.2,5.1,33.6,0.07,0.2
f1e6c5f1,be Club Brugge,8.37,2.5,29.9,0.1,0.35
edd0d381,hr Dinamo Zagreb,9.17,3.33,36.4,0.07,0.2
add600ae,de Dortmund,12.12,3.38,27.8,0.11,0.41
f0ac8ee6,de Eint Frankfurt,9.37,3.25,34.7,0.08,0.23
18050b20,dk FC Copenhagen,9.0,2.67,29.6,0.02,0.06
d609edc0,it Inter,12.77,4.77,37.3,0.11,0.29
e0652b02,it Juventus,13.0,4.17,32.1,0.12,0.36
c7a9f859,de Leverkusen,13.5,4.5,33.3,0.05,0.15
822bd0ba,eng Liverpool,15.75,6.87,43.7,0.14,0.33
187832f5,il Maccabi Haifa,12.67,3.5,27.6,0.08,0.29
b8fd03ef,eng Manchester City,15.08,6.54,43.4,0.15,0.34
5725cc7b,fr Marseille,13.17,3.83,29.1,0.09,0.3
dc56fe14,it Milan,11.25,3.5,31.1,0.09,0.29
d48ad4ff,it Napoli,16.7,6.3,37.7,0.13,0.35
e2d8892c,fr Paris S-G,12.38,5.12,41.4,0.14,0.34
5e876ee6,pt Porto,13.87,4.75,34.2,0.08,0.24
86b7acd2,sct Rangers,7.17,1.67,23.3,0.02,0.1
acbb6a5b,de RB Leipzig,11.0,4.25,38.6,0.15,0.38
50f2a074,at RB Salzburg,14.0,4.5,32.1,0.05,0.15
53a2f082,es Real Madrid,15.33,6.17,40.2,0.13,0.31
ad2be733,es Sevilla,11.33,4.0,35.3,0.09,0.25
e89d5a28,ua Shakhtar,7.5,2.5,33.3,0.18,0.53
13dc44fd,pt Sporting CP,7.5,3.5,46.7,0.18,0.38
361ca564,eng Tottenham,11.87,3.62,30.5,0.07,0.24
02cd81bf,cz Viktoria Plzeň,11.17,3.17,28.4,0.06,0.21
