Team ID,Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,Per 90 Minutes
c2e6b53b,be Antwerp,20,25.1,43.2,6,66,540,6.0,6,4,10,6,0,1,15,2,6.2,5.4,4.0,9.5,79,188,1.00,0.67,1.67,1.00,1.67,1.03,0.67,1.70,0.91,1.58
18bb7c10,eng Arsenal,22,25.8,57.0,7,77,630,7.0,16,13,29,15,1,1,8,0,11.2,10.4,8.6,19.0,132,301,2.29,1.86,4.14,2.14,4.00,1.59,1.24,2.83,1.48,2.72
db3b9613,es Atlético Madrid,22,29.9,51.9,7,77,630,7.0,15,9,24,15,0,1,18,1,9.9,8.9,7.3,16.3,112,284,2.14,1.29,3.43,2.14,3.43,1.41,1.05,2.46,1.28,2.32
206d90db,es Barcelona,24,27.1,60.0,7,77,630,7.0,12,12,24,12,0,0,19,1,11.2,11.2,9.7,20.9,185,392,1.71,1.71,3.43,1.71,3.43,1.60,1.38,2.98,1.60,2.98
054efa67,de Bayern Munich,23,28.1,58.4,8,88,720,8.0,15,12,27,14,1,1,9,1,13.8,13.1,11.2,24.3,200,418,1.87,1.50,3.38,1.75,3.25,1.73,1.40,3.13,1.64,3.04
a77c513e,pt Benfica,22,26.9,49.0,6,66,540,6.0,7,4,11,7,0,0,9,2,7.8,7.8,5.3,13.2,104,210,1.17,0.67,1.83,1.17,1.83,1.31,0.89,2.19,1.31,2.19
69d84c29,pt Braga,23,28.3,53.2,6,66,540,6.0,6,6,12,6,0,1,10,1,8.3,7.5,5.6,13.1,112,276,1.00,1.00,2.00,1.00,2.00,1.38,0.93,2.32,1.25,2.19
b81aa4fa,sct Celtic,23,26.9,46.3,6,66,540,6.0,5,4,9,4,1,1,16,3,4.9,4.1,3.7,7.9,63,210,0.83,0.67,1.50,0.67,1.33,0.82,0.62,1.44,0.69,1.31
add600ae,de Dortmund,23,28.1,44.1,7,77,630,7.0,8,7,15,7,1,1,11,0,8.8,8.0,5.8,13.9,131,212,1.14,1.00,2.14,1.00,2.00,1.26,0.83,2.09,1.15,1.98
18050b20,dk FC Copenhagen,24,27.6,38.8,8,88,720,8.0,10,6,16,9,1,2,18,2,9.1,7.8,6.3,14.0,110,202,1.25,0.75,2.00,1.13,1.87,1.14,0.79,1.92,0.97,1.76
fb4ca611,nl Feyenoord,24,24.7,54.8,6,66,540,6.0,8,5,13,8,0,1,14,0,10.6,9.8,6.9,16.7,118,310,1.33,0.83,2.17,1.33,2.17,1.77,1.14,2.91,1.64,2.78
ecd11ca2,tr Galatasaray,20,29.1,53.2,6,66,540,6.0,10,6,16,9,1,2,12,0,9.8,8.2,6.5,14.8,99,271,1.67,1.00,2.67,1.50,2.50,1.64,1.09,2.72,1.37,2.46
