Team ID,Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,Per 90 Minutes
d609edc0,it Inter,22,29.6,52.6,7,77,630,7.0,9,5,14,6,3,3,14,0,14.6,12.3,9.2,21.5,122,268,1.29,0.71,2.00,0.86,1.57,2.09,1.31,3.40,1.76,3.07
7213da33,it Lazio,21,29.4,44.1,8,88,720,8.0,8,5,13,6,2,2,24,0,10.6,9.0,6.8,15.8,117,328,1.00,0.62,1.62,0.75,1.37,1.32,0.85,2.17,1.13,1.98
fd4e0f7d,fr Lens,20,27.8,44.2,6,66,540,6.0,6,4,10,5,1,1,25,1,6.1,5.3,4.3,9.6,93,185,1.00,0.67,1.67,0.83,1.50,1.01,0.72,1.73,0.88,1.60
b8fd03ef,eng Manchester City,25,26.5,71.3,8,88,720,8.0,24,18,42,21,3,3,5,0,21.1,18.8,14.0,32.8,257,496,3.00,2.25,5.25,2.62,4.87,2.64,1.75,4.38,2.35,4.09
19538871,eng Manchester Utd,24,27.0,46.3,6,66,540,6.0,12,9,21,11,1,1,13,2,10.5,9.7,7.1,16.8,102,214,2.00,1.50,3.50,1.83,3.33,1.75,1.18,2.94,1.62,2.80
dc56fe14,it Milan,23,27.0,43.7,6,66,540,6.0,5,5,10,5,0,1,17,0,9.6,8.9,7.4,16.3,132,204,0.83,0.83,1.67,0.83,1.67,1.60,1.24,2.84,1.48,2.72
d48ad4ff,it Napoli,22,27.7,53.7,7,77,630,7.0,9,4,13,8,1,1,11,0,9.2,8.5,6.9,15.4,148,307,1.29,0.57,1.86,1.14,1.71,1.32,0.99,2.30,1.21,2.20
b2b47a98,eng Newcastle Utd,23,28.2,45.5,6,66,540,6.0,6,5,11,6,0,0,11,0,5.9,5.9,4.2,10.1,92,232,1.00,0.83,1.83,1.00,1.83,0.99,0.70,1.68,0.99,1.68
e2d8892c,fr Paris S-G,21,25.3,64.9,8,88,720,8.0,13,9,22,11,2,2,21,0,16.0,14.5,12.8,27.3,240,428,1.62,1.13,2.75,1.37,2.50,2.00,1.60,3.60,1.81,3.41
5e876ee6,pt Porto,25,27.1,48.7,7,77,630,7.0,16,12,28,15,1,1,14,0,10.9,10.2,7.4,17.6,116,268,2.29,1.71,4.00,2.14,3.86,1.55,1.06,2.62,1.46,2.52
e334d850,nl PSV Eindhoven,22,26.3,51.7,7,77,630,7.0,8,5,13,6,2,2,13,0,9.5,7.9,6.2,14.1,149,290,1.14,0.71,1.86,0.86,1.57,1.35,0.89,2.24,1.13,2.01
acbb6a5b,de RB Leipzig,23,26.2,46.6,8,88,720,8.0,14,13,27,14,0,0,18,0,12.2,12.2,9.9,22.1,151,231,1.75,1.62,3.38,1.75,3.38,1.52,1.24,2.76,1.52,2.76
50f2a074,at RB Salzburg,23,22.9,43.0,6,66,540,6.0,4,3,7,3,1,2,16,0,7.4,5.9,4.8,10.7,116,203,0.67,0.50,1.17,0.50,1.00,1.23,0.80,2.04,0.99,1.79
53a2f082,es Real Madrid,21,28.1,56.9,8,88,720,8.0,17,15,32,17,0,1,14,0,17.2,16.4,13.9,30.3,200,398,2.12,1.87,4.00,2.12,4.00,2.15,1.74,3.89,2.05,3.79
e31d1cd9,es Real Sociedad,26,26.6,52.3,8,88,720,8.0,8,5,13,8,0,1,18,0,10.3,9.5,7.4,16.9,141,335,1.00,0.62,1.62,1.00,1.62,1.28,0.93,2.21,1.19,2.11
099c6eb5,rs Red Star,22,27.2,41.2,6,66,540,6.0,6,5,11,6,0,0,21,0,8.7,8.7,6.6,15.3,90,189,1.00,0.83,1.83,1.00,1.83,1.45,1.10,2.55,1.45,2.55
ad2be733,es Sevilla,24,30.4,48.8,6,66,540,6.0,7,6,13,6,1,1,16,2,5.9,5.1,4.6,9.8,79,178,1.17,1.00,2.17,1.00,2.00,0.99,0.77,1.76,0.86,1.63
e89d5a28,ua Shakhtar,21,25.5,44.3,6,66,540,6.0,9,7,16,9,0,0,15,0,7.4,7.4,5.8,13.1,73,154,1.50,1.17,2.67,1.50,2.67,1.23,0.97,2.19,1.23,2.19
7a41008f,de Union Berlin,21,29.1,33.8,6,66,540,6.0,6,4,10,6,0,0,16,0,5.6,5.6,4.5,10.2,84,165,1.00,0.67,1.67,1.00,1.67,0.94,0.75,1.69,0.94,1.69
4b682260,ch Young Boys,23,26.3,42.3,6,66,540,6.0,6,5,11,5,1,1,15,1,6.4,5.6,4.5,10.1,81,133,1.00,0.83,1.83,0.83,1.67,1.06,0.75,1.81,0.93,1.68
