Team ID,Squad,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,SCA90,GCA90,Sh/90,SoT/90,SoT%,G/Sh,G/SoT,GA90,Save%,SoTA
c2e6b53b,be Antwerp,1.0,0.67,1.67,1.0,1.67,16.5,1.33,9.17,3.5,38.2,0.11,0.29,2.83,55.6,36
18bb7c10,eng Arsenal,2.29,1.86,4.14,2.14,4.0,22.0,3.86,12.29,4.43,36.0,0.17,0.48,0.71,75.0,20
db3b9613,es Atlético Madrid,2.14,1.29,3.43,2.14,3.43,23.86,3.14,12.71,4.43,34.8,0.17,0.48,1.0,77.4,31
206d90db,es Barcelona,1.71,1.71,3.43,1.71,3.43,27.29,3.0,16.0,5.14,32.1,0.11,0.33,1.0,68.2,22
054efa67,de Bayern Munich,1.87,1.5,3.38,1.75,3.25,27.87,3.12,15.37,4.37,28.5,0.11,0.4,0.87,77.3,22
a77c513e,pt Benfica,1.17,0.67,1.83,1.17,1.83,20.67,2.17,11.83,4.5,38.0,0.1,0.26,1.83,73.5,34
69d84c29,pt Braga,1.0,1.0,2.0,1.0,2.0,26.67,1.83,14.83,3.33,22.5,0.07,0.3,2.0,62.5,32
b81aa4fa,sct Celtic,0.83,0.67,1.5,0.67,1.33,12.5,1.67,7.67,3.67,47.8,0.09,0.18,2.5,60.5,38
add600ae,de Dortmund,1.14,1.0,2.14,1.0,2.0,23.0,2.14,13.0,4.43,34.1,0.08,0.23,0.71,88.5,26
18050b20,dk FC Copenhagen,1.25,0.75,2.0,1.13,1.87,18.25,2.12,10.25,3.25,31.7,0.11,0.35,1.75,70.5,44
fb4ca611,nl Feyenoord,1.33,0.83,2.17,1.33,2.17,26.0,2.33,15.0,5.0,33.3,0.09,0.27,1.67,61.9,21
ecd11ca2,tr Galatasaray,1.67,1.0,2.67,1.5,2.5,27.17,3.0,15.0,4.17,27.8,0.1,0.36,2.17,48.0,25
d609edc0,it Inter,1.29,0.71,2.0,0.86,1.57,25.86,2.0,14.43,4.14,28.7,0.06,0.21,0.71,80.0,25
7213da33,it Lazio,1.0,0.62,1.62,0.75,1.37,20.62,1.75,11.37,3.25,28.6,0.07,0.23,1.25,67.7,31
fd4e0f7d,fr Lens,1.0,0.67,1.67,0.83,1.5,18.17,2.0,9.83,2.5,25.4,0.08,0.33,1.83,71.9,32
b8fd03ef,eng Manchester City,3.0,2.25,5.25,2.62,4.87,39.0,5.63,21.0,8.0,38.1,0.13,0.33,1.13,52.6,19
19538871,eng Manchester Utd,2.0,1.5,3.5,1.83,3.33,20.33,3.33,11.67,4.33,37.1,0.16,0.42,2.5,62.9,35
dc56fe14,it Milan,0.83,0.83,1.67,0.83,1.67,29.17,1.5,15.67,4.5,28.7,0.05,0.19,1.33,74.1,27
d48ad4ff,it Napoli,1.29,0.57,1.86,1.14,1.71,24.86,2.29,13.43,4.0,29.8,0.09,0.29,1.43,71.4,35
b2b47a98,eng Newcastle Utd,1.0,0.83,1.83,1.0,1.83,17.83,1.67,10.33,4.17,40.3,0.1,0.24,1.17,81.3,32
e2d8892c,fr Paris S-G,1.62,1.13,2.75,1.37,2.5,28.75,2.5,16.12,5.12,31.8,0.09,0.27,1.13,75.0,36
5e876ee6,pt Porto,2.29,1.71,4.0,2.14,3.86,23.71,3.57,13.29,6.0,45.2,0.16,0.36,1.14,66.7,24
e334d850,nl PSV Eindhoven,1.14,0.71,1.86,0.86,1.57,28.43,2.14,15.29,5.0,32.7,0.06,0.17,1.57,59.3,27
acbb6a5b,de RB Leipzig,1.75,1.62,3.38,1.75,3.38,27.87,3.38,15.5,5.12,33.1,0.11,0.34,1.5,60.0,30
50f2a074,at RB Salzburg,0.67,0.5,1.17,0.5,1.0,20.83,1.17,11.83,3.67,31.0,0.04,0.14,1.33,81.8,33
53a2f082,es Real Madrid,2.12,1.87,4.0,2.12,4.0,34.75,4.12,18.62,6.0,32.2,0.11,0.35,1.0,80.0,35
e31d1cd9,es Real Sociedad,1.0,0.62,1.62,1.0,1.62,23.37,1.5,13.25,4.25,32.1,0.08,0.24,0.75,76.0,25
099c6eb5,rs Red Star,1.0,0.83,1.83,1.0,1.83,23.67,1.67,13.83,4.5,32.5,0.07,0.22,2.5,71.1,45
ad2be733,es Sevilla,1.17,1.0,2.17,1.0,2.0,15.33,2.33,8.67,2.83,32.7,0.12,0.35,2.0,63.0,27
e89d5a28,ua Shakhtar,1.5,1.17,2.67,1.5,2.67,19.17,2.67,11.5,4.33,37.7,0.13,0.35,2.0,67.6,37
7a41008f,de Union Berlin,1.0,0.67,1.67,1.0,1.67,16.83,1.67,9.5,3.33,35.1,0.11,0.3,1.67,65.5,29
4b682260,ch Young Boys,1.0,0.83,1.83,0.83,1.67,20.0,1.83,12.17,3.5,28.8,0.07,0.24,2.17,75.0,44
