Player ID,Player,Pos,Squad,SCA90,GCA90
c8d1c3a5,Jorge Eduardo Sánchez,DF,pt Porto,2.37,0.0
cf007308,Elif Elmas,MF,de RB Leipzig,4.29,0.0
cf007308,Elif Elmas,"FW,MF",it Napoli,3.04,0.0
47a34c4f,Mohamed Elneny,MF,eng Arsenal,0.0,0.0
f7dc2ae5,Aritz Elustondo,DF,es Real Sociedad,0.52,0.0
68dc0dac,Mohamed Elyounoussi,"FW,MF",dk FC Copenhagen,3.42,0.39
577efaec,Stephen Eustáquio,MF,pt Porto,2.63,0.35
6f3cc2fe,Evanilson,FW,pt Porto,3.59,0.22
762179d9,Rasmus Falk,MF,dk FC Copenhagen,1.57,0.29
8aafd64f,João Félix,FW,es Barcelona,3.09,0.56
e08647d6,Carlos Fernández,FW,es Real Sociedad,1.32,0.0
ed1e53f3,Phil Foden,"FW,MF",eng Manchester City,5.49,1.52
9a2e0ccc,Emil Forsberg,"MF,FW",de RB Leipzig,2.89,0.22
2e31f3a6,Héctor Fort,DF,es Barcelona,0.0,0.0
86df4d6b,André Franco,"MF,FW",pt Porto,2.68,0.38
2a7d27c1,Davide Frattesi,MF,it Inter,3.25,0.65
046ca6db,Victor Froholdt,MF,dk FC Copenhagen,0.0,0.0
4f16405e,Niclas Füllkrug,FW,de Dortmund,3.58,1.02
3b387cc7,Gianluca Gaetano,MF,it Napoli,12.27,0.0
a4b00319,Javi Galán,DF,es Atlético Madrid,2.43,0.0
a4b00319,Javi Galán,DF,es Real Sociedad,2.03,0.0
5b3d1a7a,Galeno,"MF,FW",pt Porto,4.08,1.02
7226539b,Fran Garcia,DF,es Real Madrid,2.86,0.95
19cae58d,Gavi,MF,es Barcelona,1.19,0.0
9c435456,Mario Gila,DF,it Lazio,0.26,0.0
88e357ef,Serge Gnabry,FW,de Bayern Munich,1.91,0.0
01e5f06e,Sergio Gómez,"DF,FW",eng Manchester City,4.64,0.0
f4b52308,Diogo Gonçalves,MF,dk FC Copenhagen,2.21,0.34
2c56a792,Nicolás González,MF,pt Porto,2.21,0.0
cc86b9a3,Leon Goretzka,"MF,DF",de Bayern Munich,3.02,0.34
62182b1d,Kamil Grabara,GK,dk FC Copenhagen,0.0,0.0
b0b4fd3e,Jack Grealish,FW,eng Manchester City,5.85,0.73
df69b544,Antoine Griezmann,"FW,MF",es Atlético Madrid,5.06,0.34
8b8e759d,Marko Grujić,MF,pt Porto,0.0,0.0
5ea8ef20,Mattéo Guendouzi,MF,it Lazio,2.36,0.18
048a1cbc,Raphaël Guerreiro,"DF,MF",de Bayern Munich,1.95,0.39
d3d774cc,Marc Guiu,FW,es Barcelona,0.0,0.0
bcb2ccd8,Péter Gulácsi,GK,de RB Leipzig,0.0,0.0
819b3158,İlkay Gündoğan,MF,es Barcelona,4.26,0.79
5ad50391,Joško Gvardiol,DF,eng Manchester City,2.76,0.5
1f44ac21,Erling Haaland,FW,eng Manchester City,1.81,0.3
92432bc6,Amadou Haidara,"MF,DF",de RB Leipzig,3.05,0.0
e42d61c7,Achraf Hakimi,DF,fr Paris S-G,3.8,0.13
ba115a40,Sébastien Haller,FW,de Dortmund,0.0,0.0
0b059e15,Micah Hamilton,FW,eng Manchester City,1.68,0.84
fed7cb61,Kai Havertz,MF,eng Arsenal,1.68,0.0
0a89e877,Benjamin Henrichs,"DF,MF",de RB Leipzig,3.12,0.55
555f3a0b,Mario Hermoso,DF,es Atlético Madrid,0.89,0.15
c3ee18ef,Lucas Hernández,DF,fr Paris S-G,1.45,0.0
05d548d8,Mats Hummels,DF,de Dortmund,0.86,0.0
2f3452eb,Elseid Hysaj,DF,it Lazio,0.53,0.0
