Player ID,Player,Pos,Squad,GA90,Save%,SoTA
65d62814,Antonio Adán,GK,pt Sporting CP,1.18,81.0,21
7a2e46a8,Alisson,GK,eng Liverpool,1.5,60.7,28
28d596a0,Kepa Arrizabalaga,GK,eng Chelsea,0.89,77.1,35
663e080e,Janis Blaswich,GK,de RB Leipzig,1.87,71.0,31
f6798fc3,Yassine Bounou,GK,es Sevilla,3.0,53.8,26
75c2e240,Josh Cohen,GK,il Maccabi Haifa,3.5,50.0,42
93fffbcf,Diogo Costa,GK,pt Porto,1.0,81.6,38
1840e36d,Thibaut Courtois,GK,es Real Madrid,1.1,79.2,53
ac295d9e,Marko Dmitrović,GK,es Sevilla,0.0,100.0,4
08f5afaa,Gianluigi Donnarumma,GK,fr Paris S-G,1.25,74.3,35
3bb7b8b4,Ederson,GK,eng Manchester City,0.36,90.3,31
c3e39f12,Fraser Forster,GK,eng Tottenham,0.5,85.7,7
62182b1d,Kamil Grabara,GK,dk FC Copenhagen,2.25,75.0,32
3f034750,Ivo Grbić,GK,es Atlético Madrid,2.0,60.0,5
bcb2ccd8,Péter Gulácsi,GK,de RB Leipzig,2.81,25.0,8
cb4f24c6,Joe Hart,GK,sct Celtic,2.5,58.1,31
ad3389d5,Lukáš Hrádecký,GK,de Leverkusen,1.33,75.0,24
1f994616,Franco Israel,GK,pt Sporting CP,2.32,62.5,8
cd59b9df,Gregor Kobel,GK,de Dortmund,0.57,89.5,19
ff74841d,Philipp Köhn,GK,at RB Salzburg,1.5,70.0,30
58f077c0,Dominik Livaković,GK,hr Dinamo Zagreb,1.83,77.1,35
8f62b6ee,Hugo Lloris,GK,eng Tottenham,1.0,73.9,23
20b9f052,Pau López,GK,fr Marseille,1.33,60.0,20
3061e1ec,Andriy Lunin,GK,es Real Madrid,1.0,60.0,5
fcb38f57,Mike Maignan,GK,it Milan,0.86,77.8,27
f3a97d02,Allan McGregor,GK,sct Rangers,3.6,61.9,42
3b0108d6,Jon McLaughlin,GK,sct Rangers,4.0,55.6,9
33887998,Edouard Mendy,GK,eng Chelsea,1.0,50.0,2
9413b19f,Alex Meret,GK,it Napoli,0.8,76.7,30
b56dd813,Alexander Meyer,GK,de Dortmund,1.11,76.5,17
d436eb94,Simon Mignolet,GK,be Club Brugge,1.37,80.0,45
8778c910,Manuel Neuer,GK,de Bayern Munich,0.0,100.0,9
ee8508c0,Jan Oblak,GK,es Atlético Madrid,1.4,72.7,22
e9c0c1b2,André Onana,GK,it Inter,0.85,80.7,57
c1242d4e,Stefan Ortega,GK,eng Manchester City,0.5,83.3,6
3392603d,Remko Pasveer,GK,nl Ajax,2.67,62.2,37
cc1c5035,Iñaki Peña,GK,es Barcelona,2.0,87.5,8
4c62d0c8,Mattia Perin,GK,it Juventus,2.0,76.9,13
4535e4bb,Mathew Ryan,GK,dk FC Copenhagen,1.5,50.0,6
420c18a1,Yann Sommer,GK,de Bayern Munich,1.0,76.5,17
eca17cf2,Jindřich Staněk,GK,cz Viktoria Plzeň,3.8,54.8,42
01b8a2b2,Wojciech Szczęsny,GK,it Juventus,2.25,57.9,19
b056e3da,Ciprian Tătărușanu,GK,it Milan,1.0,84.0,25
6f51e382,Marc-André ter Stegen,GK,es Barcelona,2.0,54.5,22
ce17b5eb,Kevin Trapp,GK,de Eint Frankfurt,1.62,73.2,41
41f0b196,Anatolii Trubin,GK,ua Shakhtar,1.67,73.7,38
d3dc62d1,Marián Tvrdoň,GK,cz Viktoria Plzeň,5.0,61.5,13
7d3e7da6,Sven Ulreich,GK,de Bayern Munich,0.67,80.0,10
03df04ff,Odisseas Vlachodimos,GK,pt Benfica,1.3,67.7,31
