Player ID,Player,Pos,Squad,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK
5f09991f,Patrick van Aanholt,"MF,DF",nl PSV Eindhoven,0.0,0.0,0.0,0.0,0.0
5bc43860,Brenden Aaronson,MF,de Union Berlin,0.0,0.0,0.0,0.0,0.0
82464ce3,Salis Abdul Samed,MF,fr Lens,0.0,0.0,0.0,0.0,0.0
b96b595c,Francesco Acerbi,DF,it Inter,0.0,0.24,0.24,0.0,0.24
4dd2a0be,Elias Achouri,"FW,MF",dk FC Copenhagen,0.0,0.16,0.16,0.0,0.16
81442ecb,Marcos Acuña,DF,es Sevilla,0.0,0.45,0.45,0.0,0.45
501055d8,Karim Adeyemi,FW,de Dortmund,0.53,0.26,0.79,0.53,0.79
26777636,Yacine Adli,MF,it Milan,0.0,0.0,0.0,0.0,0.0
3dd738a1,Ruben Aguilar,DF,fr Lens,0.0,0.0,0.0,0.0,0.0
89ac64a6,Manuel Akanji,"DF,MF",eng Manchester City,0.39,0.0,0.39,0.39,0.39
eaeca114,Nathan Aké,"DF,MF",eng Manchester City,0.0,0.0,0.0,0.0,0.0
f28659fb,Kerem Aktürkoğlu,"MF,FW",tr Galatasaray,0.41,0.0,0.41,0.41,0.41
05439de2,David Alaba,DF,es Real Madrid,0.0,0.36,0.36,0.0,0.36
5294a83f,Luis Alberto,MF,it Lazio,0.0,0.14,0.14,0.0,0.14
f7d50789,Toby Alderweireld,DF,be Antwerp,0.0,0.0,0.0,0.0,0.0
f8405304,Mohamed Ali Cho,"FW,MF",es Real Sociedad,0.0,0.0,0.0,0.0,0.0
862a1c15,Miguel Almirón,FW,eng Newcastle Utd,0.22,0.22,0.44,0.22,0.44
f4290206,Marcos Alonso,"DF,FW",es Barcelona,0.0,0.0,0.0,0.0,0.0
414b2ce4,Barış Alper Yılmaz,"FW,MF",tr Galatasaray,0.0,0.71,0.71,0.0,0.71
15ab5a2b,Julián Álvarez,"MF,FW",eng Manchester City,1.81,0.73,2.54,1.81,2.54
24fc70d3,Mohamed Aly Camara,DF,ch Young Boys,0.0,0.2,0.2,0.0,0.2
bc62d898,Forson Amankwah,"MF,FW",at RB Salzburg,0.0,0.0,0.0,0.0,0.0
1227a22d,Aurele Amenda,DF,ch Young Boys,0.0,0.0,0.0,0.0,0.0
5a2cb25d,Sofyan Amrabat,"MF,DF",eng Manchester Utd,0.0,0.0,0.0,0.0,0.0
de31038e,Elliot Anderson,MF,eng Newcastle Utd,0.0,0.0,0.0,0.0,0.0
9f1893b9,Felipe Anderson,FW,it Lazio,0.0,0.17,0.17,0.0,0.17
30941e96,Angeliño,DF,tr Galatasaray,0.0,0.0,0.0,0.0,0.0
df525574,Peter Ankersen,DF,dk FC Copenhagen,0.0,0.0,0.0,0.0,0.0
99127249,Antony,FW,eng Manchester Utd,0.0,0.0,0.0,0.0,0.0
dc7a172e,Jon Aramburu,DF,es Real Sociedad,0.0,0.0,0.0,0.0,0.0
2bef2bca,Ronald Araújo,DF,es Barcelona,0.0,0.0,0.0,0.0,0.0
0fa11d7d,Tomás Araújo,DF,pt Benfica,0.0,0.0,0.0,0.0,0.0
00459419,Marko Arnautović,FW,it Inter,0.94,0.0,0.94,0.94,0.94
28d596a0,Kepa Arrizabalaga,GK,es Real Madrid,0.0,0.0,0.0,0.0,0.0
a820e429,Arthur,"FW,DF",pt Benfica,0.75,0.0,0.75,0.75,0.75
45af8a54,Marco Asensio,"FW,MF",fr Paris S-G,0.0,0.0,0.0,0.0,0.0
0fdcef0e,Kristjan Asllani,MF,it Inter,0.0,0.0,0.0,0.0,0.0
6f22e535,Otavio Ataide,DF,pt Porto,0.0,1.0,1.0,0.0,1.0
649b01d8,Emil Audero,GK,it Inter,0.0,0.0,0.0,0.0,0.0
3963c25b,Yann Aurel Bisseck,DF,it Inter,0.0,0.0,0.0,0.0,0.0
f0677ed7,Fredrik Aursnes,"DF,MF",pt Benfica,0.0,0.17,0.17,0.0,0.17
2200181e,Kaan Ayhan,"MF,DF",tr Galatasaray,0.0,0.0,0.0,0.0,0.0
17e1261b,Neil El Aynaoui,MF,fr Lens,0.0,0.0,0.0,0.0,0.0
dd95af65,Irakli Azarov,DF,ua Shakhtar,0.0,0.3,0.3,0.0,0.3
53cad200,César Azpilicueta,DF,es Atlético Madrid,0.0,0.0,0.0,0.0,0.0
52f7e3a7,Isaac Babadi,FW,nl PSV Eindhoven,0.0,0.0,0.0,0.0,0.0
114bbdee,Loïc Bade,DF,es Sevilla,0.0,0.0,0.0,0.0,0.0
78f21137,Alexander Bah,DF,pt Benfica,0.0,0.0,0.0,0.0,0.0
9440e587,Samson Baidoo,DF,at RB Salzburg,0.0,0.0,0.0,0.0,0.0
0af4dcf0,Cédric Bakambu,FW,tr Galatasaray,2.37,0.0,2.37,2.37,2.37
0caa2fd4,Johan Bakayoko,FW,nl PSV Eindhoven,0.16,0.16,0.32,0.16,0.32
5ccc9672,Alejandro Balde,DF,es Barcelona,0.0,0.0,0.0,0.0,0.0
172bab0a,Michel-Ange Balikwisha,"FW,MF",be Antwerp,0.23,0.0,0.23,0.23,0.23
f7b10c66,David von Ballmoos,GK,ch Young Boys,0.0,0.0,0.0,0.0,0.0
be47b750,Simon Banza,FW,pt Braga,0.0,0.26,0.26,0.0,0.26
a0d55a09,Bradley Barcola,"FW,DF",fr Paris S-G,0.34,0.0,0.34,0.34,0.34
5d9cff53,Abdülkerim Bardakcı,DF,tr Galatasaray,0.0,0.0,0.0,0.0,0.0
88ce7ddc,Roony Bardghji,"MF,FW",dk FC Copenhagen,0.62,0.0,0.62,0.62,0.62
6928979a,Nicolò Barella,MF,it Inter,0.0,0.0,0.0,0.0,0.0
3ea50f67,Harvey Barnes,FW,eng Newcastle Utd,0.0,0.0,0.0,0.0,0.0
a4e16ab4,Romário Baró,MF,pt Porto,0.0,0.0,0.0,0.0,0.0
200e89e1,Ander Barrenetxea,"FW,MF",es Real Sociedad,0.23,0.23,0.45,0.23,0.45
45736cec,Pablo Barrios,MF,es Atlético Madrid,0.61,0.61,1.22,0.61,1.22
7e0b6c50,Davide Bartesaghi,FW,it Milan,0.0,0.0,0.0,0.0,0.0
75b86fb3,Alessandro Bastoni,DF,it Inter,0.0,0.0,0.0,0.0,0.0
cabb3a1d,Jelle Bataille,DF,be Antwerp,0.0,0.22,0.22,0.0,0.22
437f2b00,Christoph Baumgartner,MF,de RB Leipzig,0.0,0.0,0.0,0.0,0.0
8eb55dbb,Sheraldo Becker,FW,de Union Berlin,0.49,0.0,0.49,0.49,0.49
8eb55dbb,Sheraldo Becker,FW,es Real Sociedad,0.0,0.0,0.0,0.0,0.0
530e7d85,Thomas Beelen,DF,nl Feyenoord,0.0,0.0,0.0,0.0,0.0
30ae134d,Kevin Behrens,FW,de Union Berlin,0.0,0.0,0.0,0.0,0.0
a39d11bc,Armel Bella Kotchap,DF,nl PSV Eindhoven,0.0,0.0,0.0,0.0,0.0
57d88cf9,Jude Bellingham,"MF,FW",es Real Madrid,0.68,0.68,1.35,0.68,1.35
8a2248b4,Walter Benítez,GK,nl PSV Eindhoven,0.0,0.0,0.0,0.0,0.0
f5b6fb78,Loris Benito,DF,ch Young Boys,0.0,0.0,0.0,0.0,0.0
378825c7,Ramy Bensebaini,DF,de Dortmund,0.0,0.0,0.0,0.0,0.0
b8aedf06,Lucas Beraldo,DF,fr Paris S-G,0.0,0.0,0.0,0.0,0.0
4142f132,Paulo Bernardo,MF,sct Celtic,0.0,0.0,0.0,0.0,0.0
433dc9a2,Juan Bernat,DF,pt Benfica,0.0,0.0,0.0,0.0,0.0
407db0d5,Mads Bidstrup,MF,at RB Salzburg,0.0,0.0,0.0,0.0,0.0
53d93280,Justin Bijlow,GK,nl Feyenoord,0.0,0.0,0.0,0.0,0.0
663e080e,Janis Blaswich,GK,de RB Leipzig,0.0,0.2,0.2,0.0,0.2
c8ccc39e,Lewin Blum,DF,ch Young Boys,0.42,0.0,0.42,0.42,0.42
eed2427e,Oscar Bobb,"FW,MF",eng Manchester City,0.41,0.0,0.41,0.41,0.41
6c8ddd52,Sacha Boey,DF,tr Galatasaray,0.17,0.0,0.17,0.17,0.17
08fe932d,Nicolai Boilesen,"DF,FW",dk FC Copenhagen,0.0,0.0,0.0,0.0,0.0
7713c72a,Valerii Bondar,DF,ua Shakhtar,0.0,0.0,0.0,0.0,0.0
415568b5,Artem Bondarenko,MF,ua Shakhtar,0.0,0.0,0.0,0.0,0.0
52ec54d0,Leonardo Bonucci,DF,de Union Berlin,0.0,0.0,0.0,0.0,0.0
4d1c4a5d,Gonçalo Borges,FW,pt Porto,0.0,0.0,0.0,0.0,0.0
9d7d5334,Cristian Borja,DF,pt Braga,0.0,0.0,0.0,0.0,0.0
403f5d20,Olivier Boscagli,DF,nl PSV Eindhoven,0.0,0.0,0.0,0.0,0.0
ccce7025,Sven Botman,DF,eng Newcastle Utd,0.0,0.0,0.0,0.0,0.0
a167537f,Julian Brandt,"MF,FW",de Dortmund,0.26,0.0,0.26,0.26,0.26
5caa62a7,Bruma,FW,pt Braga,0.49,0.24,0.73,0.49,0.73
eab85789,Osman Bukari,FW,rs Red Star,0.37,0.37,0.74,0.37,0.74
b2d31e83,Dan Burn,DF,eng Newcastle Utd,0.32,0.0,0.32,0.32,0.32
7f40333d,Jean Butez,GK,be Antwerp,0.0,0.0,0.0,0.0,0.0
10745192,Jamie Bynoe-Gittens,"FW,MF",de Dortmund,0.57,0.0,0.57,0.57,0.57
928a4a61,Jens Cajuste,MF,it Napoli,0.0,0.0,0.0,0.0,0.0
2146785a,Davide Calabria,DF,it Milan,0.0,0.21,0.21,0.0,0.21
cd0fa27b,Hakan Çalhanoğlu,MF,it Inter,0.23,0.0,0.23,0.0,0.0
7b9c2d84,Eduardo Camavinga,"MF,DF",es Real Madrid,0.0,0.2,0.2,0.0,0.2
a65ce836,Emre Can,"MF,DF",de Dortmund,0.0,0.0,0.0,0.0,0.0
bd6351cd,João Cancelo,DF,es Barcelona,0.16,0.16,0.33,0.16,0.33
6885cc44,Nicolás Capaldo,"MF,DF",at RB Salzburg,0.0,0.0,0.0,0.0,0.0
4a5839fa,Fábio Cardoso,DF,pt Porto,0.0,0.0,0.0,0.0,0.0
8d3cd59d,Carlos,"DF,FW",it Inter,0.0,0.0,0.0,0.0,0.0
3ce20eda,David Carmo,DF,pt Porto,0.0,0.0,0.0,0.0,0.0
88ced02c,Cameron Carter-Vickers,DF,sct Celtic,0.0,0.0,0.0,0.0,0.0
4958bfb2,Dani Carvajal,DF,es Real Madrid,0.0,0.19,0.19,0.0,0.19
966e28d0,Fabio Carvalho,MF,de RB Leipzig,0.0,0.0,0.0,0.0,0.0
adc77724,Vitor Carvalho,MF,pt Braga,0.0,0.0,0.0,0.0,0.0
2ef08833,Marc Casado,MF,es Barcelona,0.0,0.0,0.0,0.0,0.0
3f5f38fb,Nicolò Casale,DF,it Lazio,0.0,0.0,0.0,0.0,0.0
4d224fe8,Casemiro,MF,eng Manchester Utd,1.08,0.0,1.08,1.08,1.08
