Player ID,Player,Pos,Squad,Sh/90,SoT/90,SoT%,G/Sh,G/SoT
530e7d85,Thomas Beelen,DF,nl Feyenoord,0.0,0.0,,,
30ae134d,Kevin Behrens,FW,de Union Berlin,1.81,0.6,33.3,0.0,0.0
a39d11bc,Armel Bella Kotchap,DF,nl PSV Eindhoven,1.07,0.0,0.0,0.0,
57d88cf9,Jude Bellingham,"MF,FW",es Real Madrid,3.21,1.18,36.8,0.21,0.57
8a2248b4,Walter Benítez,GK,nl PSV Eindhoven,0.0,0.0,,,
f5b6fb78,Loris Benito,DF,ch Young Boys,0.22,0.22,100.0,0.0,0.0
378825c7,Ramy Bensebaini,DF,de Dortmund,0.72,0.24,33.3,0.0,0.0
b8aedf06,Lucas Beraldo,DF,fr Paris S-G,0.0,0.0,,,
4142f132,Paulo Bernardo,MF,sct Celtic,0.29,0.0,0.0,0.0,
433dc9a2,Juan Bernat,DF,pt Benfica,0.81,0.81,100.0,0.0,0.0
407db0d5,Mads Bidstrup,MF,at RB Salzburg,0.18,0.0,0.0,0.0,
53d93280,Justin Bijlow,GK,nl Feyenoord,0.0,0.0,,,
663e080e,Janis Blaswich,GK,de RB Leipzig,0.0,0.0,,,
c8ccc39e,Lewin Blum,DF,ch Young Boys,1.67,0.42,25.0,0.25,1.0
eed2427e,Oscar Bobb,"FW,MF",eng Manchester City,1.65,0.83,50.0,0.25,0.5
6c8ddd52,Sacha Boey,DF,tr Galatasaray,0.83,0.17,20.0,0.2,1.0
08fe932d,Nicolai Boilesen,"DF,FW",dk FC Copenhagen,0.0,0.0,,,
7713c72a,Valerii Bondar,DF,ua Shakhtar,0.0,0.0,,,
415568b5,Artem Bondarenko,MF,ua Shakhtar,1.22,0.0,0.0,0.0,
52ec54d0,Leonardo Bonucci,DF,de Union Berlin,0.0,0.0,,,
4d1c4a5d,Gonçalo Borges,FW,pt Porto,0.0,0.0,,,
9d7d5334,Cristian Borja,DF,pt Braga,0.0,0.0,,,
403f5d20,Olivier Boscagli,DF,nl PSV Eindhoven,0.17,0.0,0.0,0.0,
ccce7025,Sven Botman,DF,eng Newcastle Utd,0.0,0.0,,,
a167537f,Julian Brandt,"MF,FW",de Dortmund,1.83,0.78,42.9,0.14,0.33
5caa62a7,Bruma,FW,pt Braga,2.91,1.21,41.7,0.17,0.4
eab85789,Osman Bukari,FW,rs Red Star,2.22,0.37,16.7,0.17,1.0
b2d31e83,Dan Burn,DF,eng Newcastle Utd,0.97,0.32,33.3,0.33,1.0
7f40333d,Jean Butez,GK,be Antwerp,0.0,0.0,,,
10745192,Jamie Bynoe-Gittens,"FW,MF",de Dortmund,2.28,0.57,25.0,0.25,1.0
928a4a61,Jens Cajuste,MF,it Napoli,0.0,0.0,,,
