Player ID,Player,Pos,Squad,SCA90,GCA90
5fd5ed86,Gleison Bremer,DF,it Juventus,0.67,0.33
4c184730,Brian Brobbey,FW,nl Ajax,2.37,0.79
97220da2,Armando Broja,FW,eng Chelsea,3.13,0.0
33b8d077,Marcelo Brozović,MF,it Inter,2.95,0.0
3235182a,Pavel Bucha,MF,cz Viktoria Plzeň,3.21,0.0
3aca6420,Tajon Buchanan,"DF,MF",be Club Brugge,1.55,0.17
eaeefc50,Marko Bulat,MF,hr Dinamo Zagreb,6.21,0.0
5ab0ea87,Sergio Busquets,MF,es Barcelona,2.5,0.0
b4705807,Aurélio Buta,DF,de Eint Frankfurt,0.0,0.0
10745192,Jamie Bynoe-Gittens,MF,de Dortmund,0.0,0.0
e34e086c,Jovane Cabral,MF,pt Sporting CP,0.0,0.0
2146785a,Davide Calabria,DF,it Milan,1.63,0.0
cd0fa27b,Hakan Çalhanoğlu,MF,it Inter,3.36,0.22
7b9c2d84,Eduardo Camavinga,"MF,DF",es Real Madrid,1.62,0.25
a65ce836,Emre Can,MF,de Dortmund,0.64,0.16
bd6351cd,João Cancelo,DF,de Bayern Munich,2.21,0.74
bd6351cd,João Cancelo,DF,eng Manchester City,2.86,0.95
6885cc44,Nicolás Capaldo,MF,at RB Salzburg,1.67,0.0
707b98f1,Valentin Carboni,FW,it Inter,0.0,0.0
4a5839fa,Fábio Cardoso,DF,pt Porto,0.25,0.0
3ce20eda,David Carmo,DF,pt Porto,0.4,0.2
2dce876a,Carmona,DF,es Sevilla,1.0,0.0
de39485a,Yannick Carrasco,"DF,MF",es Atlético Madrid,4.13,0.3
88ced02c,Cameron Carter-Vickers,DF,sct Celtic,0.0,0.0
4958bfb2,Dani Carvajal,DF,es Real Madrid,2.28,0.1
966e28d0,Fabio Carvalho,"MF,FW",eng Liverpool,3.91,1.57
2ef08833,Marc Casado,MF,es Barcelona,0.0,0.0
c0617e2b,Dani Ceballos,MF,es Real Madrid,4.14,0.0
a33a0dc0,Aleš Čermák,MF,cz Viktoria Plzeň,2.73,0.0
2180c761,El Chadaille Bitshiabu,DF,fr Paris S-G,0.0,0.0
5515376c,Trevoh Chalobah,DF,eng Chelsea,0.82,0.0
b3b7f5a6,Timothy Chandler,DF,de Eint Frankfurt,0.0,0.0
71031a25,Tjaronn Chery,"MF,FW",il Maccabi Haifa,4.17,0.33
b0f7e36c,Federico Chiesa,FW,it Juventus,5.29,0.0
d2424d1b,Ben Chilwell,"DF,MF",eng Chelsea,3.72,0.16
262e5a82,Chiquinho,MF,pt Benfica,3.56,0.67
163bbd4a,Tomáš Chorý,FW,cz Viktoria Plzeň,1.75,0.5
1cb49278,Andreas Christensen,DF,es Barcelona,1.67,0.42
b3a712de,Viktor Claesson,"FW,MF",dk FC Copenhagen,2.43,0.19
5219ab4a,Jonathan Clauss,DF,fr Marseille,1.31,0.22
b9beb6c5,William Clem,MF,dk FC Copenhagen,1.59,0.0
1fbbfbde,Sebastián Coates,DF,pt Sporting CP,0.0,0.0
75c2e240,Josh Cohen,GK,il Maccabi Haifa,0.0,0.0
bfde3de5,Antonio Čolak,FW,sct Rangers,0.95,0.32
042e8a49,Kingsley Coman,"FW,DF",de Bayern Munich,5.23,0.34
5ef3d210,Francisco Conceição,"FW,MF",nl Ajax,0.0,0.0
6fee9966,Rodrigo Conceição,DF,pt Porto,0.0,0.0
c693347d,Andreas Cornelius,FW,dk FC Copenhagen,0.83,0.0
edeb21ff,Pierre Cornud,DF,il Maccabi Haifa,3.4,0.49
01eb744d,Ángel Correa,"FW,MF",es Atlético Madrid,4.12,0.63
45b9b619,Joaquín Correa,FW,it Inter,2.36,1.18
7b4c1f6e,Bruno Xavier Almeida Costa,MF,pt Porto,3.7,0.0
93fffbcf,Diogo Costa,GK,pt Porto,0.25,0.12
9dff291c,Soumaïla Coulibaly,DF,de Dortmund,4.74,0.0
1840e36d,Thibaut Courtois,GK,es Real Madrid,0.0,0.0
0ab1f153,Juan Cuadrado,"DF,MF",it Juventus,3.54,0.21
1daec722,Marc Cucurella,DF,eng Chelsea,1.95,0.0
dc62b55d,Matheus Cunha,"FW,MF",es Atlético Madrid,9.59,0.0
44eb9093,Danilo D'Ambrosio,DF,it Inter,2.25,0.0
94b2001f,Danilo,DF,it Juventus,1.48,0.0
f08490a6,Arnaut Danjuma,MF,eng Tottenham,0.0,0.0
06a1d642,Mohammed Daramy,FW,dk FC Copenhagen,3.85,0.0
96e0490d,Matteo Darmian,DF,it Inter,0.55,0.0
40f65c01,Dean David,"FW,DF",il Maccabi Haifa,3.03,0.38
d781d855,Alphonso Davies,DF,de Bayern Munich,3.13,0.45
44781702,Ben Davies,DF,eng Tottenham,0.69,0.23
c9009a1f,Ben Davies,DF,sct Rangers,0.69,0.0
cf15bbb1,Steven Davis,MF,sct Rangers,0.72,0.0
e46012d4,Kevin De Bruyne,MF,eng Manchester City,5.28,0.88
2ef7c612,Charles De Ketelaere,"MF,FW",it Milan,0.77,0.0
162efffd,Rodrigo De Paul,MF,es Atlético Madrid,4.92,0.35
ae4e2852,Mattia De Sciglio,DF,it Juventus,2.84,0.0
bc6e544a,Amar Dedić,DF,at RB Salzburg,2.5,0.0
fe641c1a,Thomas Delaney,MF,es Sevilla,1.96,0.0
b19db005,Ousmane Dembélé,FW,es Barcelona,6.1,0.87
54b4dc4e,Kerem Demirbay,MF,de Leverkusen,3.69,0.0
5976f83e,Sergiño Dest,DF,it Milan,1.41,0.0
230a2fac,Giovanni Di Lorenzo,DF,it Napoli,2.94,0.3
19cda00b,Ángel Di María,FW,it Juventus,6.16,1.85
aeed5c06,Moussa Diaby,"FW,MF",de Leverkusen,2.5,0.0
fc62f087,Abdou Diallo,"DF,MF",de RB Leipzig,2.79,0.4
31c69ef1,Rúben Dias,DF,eng Manchester City,0.94,0.09
407feb71,Brahim Díaz,"MF,FW",it Milan,3.29,0.45
4a1a9578,Luis Díaz,FW,eng Liverpool,4.35,1.0
ac861941,Eric Dier,DF,eng Tottenham,0.58,0.0
f179ee11,Kevin Diks,DF,dk FC Copenhagen,0.54,0.0
970b8574,Federico Dimarco,DF,it Inter,3.59,0.87
95bb6ddc,Junior Dina Ebimbe,"MF,DF",de Eint Frankfurt,1.49,0.0
ac295d9e,Marko Dmitrović,GK,es Sevilla,0.5,0.0
d557d734,Matt Doherty,DF,eng Tottenham,2.4,0.0
cc83b74d,Kasper Dolberg,FW,es Sevilla,2.45,0.0
08f5afaa,Gianluigi Donnarumma,GK,fr Paris S-G,0.0,0.0
1a992676,Julian Draxler,MF,pt Benfica,5.81,0.0
15ea94de,Josip Drmić,FW,hr Dinamo Zagreb,2.87,0.0
481c9ece,Denzel Dumfries,DF,it Inter,1.52,0.0
3bb7f478,Edin Džeko,FW,it Inter,2.62,0.11
3bb7b8b4,Ederson,GK,eng Manchester City,0.0,0.0
c8d1c3a5,Jorge Eduardo Sánchez,DF,nl Ajax,0.67,0.0
57760e66,Marcus Edwards,"FW,MF",pt Sporting CP,3.58,1.02
5b92d896,Hugo Ekitike,"MF,FW",fr Paris S-G,0.0,0.0
b9e1436c,Harvey Elliott,MF,eng Liverpool,3.42,0.23
cf007308,Elif Elmas,"FW,MF",it Napoli,3.16,0.0
df8b52a5,Emerson,"DF,MF",eng Tottenham,1.16,0.17
04e17fd5,Youssef En-Nesyri,FW,es Sevilla,2.57,0.0
12dcbdcc,Ricardo Esgaio,"DF,MF",pt Sporting CP,0.83,0.0
1e4319ac,Dario Essugo,MF,pt Sporting CP,0.0,0.0
577efaec,Stephen Eustáquio,MF,pt Porto,1.97,0.15
6f3cc2fe,Evanilson,FW,pt Porto,2.28,0.18
7f3b388c,Fabinho,MF,eng Liverpool,2.28,0.0
366be751,Nicolò Fagioli,MF,it Juventus,3.33,0.0
762179d9,Rasmus Falk,MF,dk FC Copenhagen,2.86,0.0
bceda5ff,Abdul Fatawu Issahaku,"MF,DF",pt Sporting CP,1.01,0.0
0ba976e4,Ansu Fati,FW,es Barcelona,2.6,0.74
51a3c4c8,Felipe,DF,es Atlético Madrid,2.0,0.0
8aafd64f,João Félix,"FW,MF",eng Chelsea,5.53,0.0
8aafd64f,João Félix,FW,es Atlético Madrid,4.98,0.0
ef491564,Mateus Fernandes,MF,pt Sporting CP,0.0,0.0
5ff4ab71,Enzo Fernández,MF,pt Benfica,1.9,0.21
5ff4ab71,Enzo Fernández,MF,eng Chelsea,2.44,0.0
d9d43555,Fernando,FW,at RB Salzburg,4.22,1.41
41f32541,Fernando,MF,es Sevilla,1.0,0.0
4c370d81,Roberto Firmino,"FW,MF",eng Liverpool,3.88,0.43
ed1e53f3,Phil Foden,"MF,FW",eng Manchester City,4.69,1.17
132a82f1,Wesley Fofana,DF,eng Chelsea,1.13,0.0
58c6b67c,Bernardo Folha,MF,pt Porto,0.0,0.0
e73659d3,James Forrest,FW,sct Celtic,2.97,0.0
