Nombre_Eq1,Nombre_Eq2,GolesP_Eq1,GolesP_Eq2,GANADOR,Team_ID_Eq1,Gls90_Eq1,Ast90_Eq1,G+A90_Eq1,G-PK90_Eq1,G+A-PK90_Eq1,SCA90_Eq1,GCA90_Eq1,Sh90_Eq1,SoT90_Eq1,SoT%_Eq1,G/Sh_Eq1,G/SoT_Eq1,GA90_Eq1,Save%_Eq1,SoTA_Eq1,Team_ID_Eq2,Gls90_Eq2,Ast90_Eq2,G+A90_Eq2,G-PK90_Eq2,G+A-PK90_Eq2,SCA90_Eq2,GCA90_Eq2,Sh90_Eq2,SoT90_Eq2,SoT%_Eq2,G/Sh_Eq2,G/SoT_Eq2,GA90_Eq2,Save%_Eq2,SoTA_Eq2
de Leverkusen,es Atlético Madrid,2,0,1,c7a9f859,0.67,0.67,1.33,0.67,1.33,23.83,1.33,13.5,4.5,0.33,0.05,0.15,1.33,0.75,24,db3b9613,0.67,0.5,1.17,0.67,1.17,28.0,1.17,15.83,5.67,0.36,0.04,0.12,1.5,0.7,27
fr Marseille,de Eint Frankfurt,0,1,2,5725cc7b,1.33,1.0,2.33,1.17,2.17,23.17,1.83,13.17,3.83,0.29,0.09,0.3,1.33,0.6,20,f0ac8ee6,0.87,0.62,1.5,0.75,1.37,16.12,1.5,9.37,3.25,0.35,0.08,0.23,1.62,0.73,41
de Bayern Munich,es Barcelona,2,0,1,054efa67,2.1,1.9,4.0,2.0,3.9,30.2,3.9,16.7,7.2,0.43,0.12,0.28,0.6,0.83,36,206d90db,2.0,1.67,3.67,2.0,3.67,27.67,3.83,15.0,5.5,0.37,0.13,0.36,2.0,0.63,30
it Milan,hr Dinamo Zagreb,3,1,1,dc56fe14,1.17,0.75,1.92,1.0,1.75,20.17,2.08,11.25,3.5,0.31,0.09,0.29,0.92,0.81,52,edd0d381,0.67,0.33,1.0,0.67,1.0,16.67,1.33,9.17,3.33,0.36,0.07,0.2,1.83,0.77,35
ua Shakhtar,sct Celtic,1,1,0,e89d5a28,1.33,1.17,2.5,1.33,2.5,13.33,2.33,7.5,2.5,0.33,0.18,0.53,1.67,0.74,38,b81aa4fa,0.5,0.17,0.67,0.5,0.67,23.5,0.83,13.67,4.83,0.35,0.04,0.1,2.5,0.58,31
sct Rangers,it Napoli,0,3,2,86b7acd2,0.33,0.17,0.5,0.17,0.33,11.67,0.67,7.17,1.67,0.23,0.02,0.1,3.67,0.61,51,d48ad4ff,2.6,2.0,4.6,2.2,4.2,31.5,4.7,16.7,6.3,0.38,0.13,0.35,0.8,0.77,30
eng Chelsea,at RB Salzburg,1,1,0,cff3d9bb,1.2,0.7,1.9,1.0,1.7,28.3,2.0,15.2,5.1,0.34,0.07,0.2,0.9,0.76,37,50f2a074,0.83,0.5,1.33,0.67,1.17,22.33,1.5,14.0,4.5,0.32,0.05,0.15,1.5,0.7,30
eng Manchester City,de Dortmund,2,1,1,b8fd03ef,2.38,1.77,4.15,2.23,4.0,28.08,4.0,15.08,6.54,0.43,0.15,0.34,0.38,0.89,37,add600ae,1.37,1.25,2.62,1.37,2.62,21.12,2.62,12.12,3.38,0.28,0.11,0.41,0.87,0.83,36
dk FC Copenhagen,es Sevilla,0,0,0,18050b20,0.17,0.17,0.33,0.17,0.33,15.0,0.17,9.0,2.67,0.3,0.02,0.06,2.0,0.71,38,ad2be733,1.0,0.83,1.83,1.0,1.83,19.83,1.5,11.33,4.0,0.35,0.09,0.25,2.0,0.6,30
it Juventus,pt Benfica,1,2,2,e0652b02,1.5,1.33,2.83,1.5,2.83,23.33,2.67,13.0,4.17,0.32,0.12,0.36,2.17,0.66,32,a77c513e,2.5,1.6,4.1,2.0,3.6,25.4,4.7,13.3,4.8,0.36,0.15,0.42,1.3,0.68,31
