Nombre_Eq1,Nombre_Eq2,GolesP_Eq1,GolesP_Eq2,GANADOR,Team_ID_Eq1,Gls90_Eq1,Ast90_Eq1,G+A90_Eq1,G-PK90_Eq1,G+A-PK90_Eq1,SCA90_Eq1,GCA90_Eq1,Sh90_Eq1,SoT90_Eq1,SoT%_Eq1,G/Sh_Eq1,G/SoT_Eq1,GA90_Eq1,Save%_Eq1,SoTA_Eq1,Team_ID_Eq2,Gls90_Eq2,Ast90_Eq2,G+A90_Eq2,G-PK90_Eq2,G+A-PK90_Eq2,SCA90_Eq2,GCA90_Eq2,Sh90_Eq2,SoT90_Eq2,SoT%_Eq2,G/Sh_Eq2,G/SoT_Eq2,GA90_Eq2,Save%_Eq2,SoTA_Eq2
es Real Madrid,de RB Leipzig,2,0,1,53a2f082,2.17,1.75,3.92,1.92,3.67,27.92,3.75,15.33,6.17,0.4,0.13,0.31,1.08,0.78,58,acbb6a5b,1.62,1.5,3.12,1.62,3.12,19.5,2.62,11.0,4.25,0.39,0.15,0.38,2.12,0.62,39
il Maccabi Haifa,fr Paris S-G,1,3,2,187832f5,1.17,1.0,2.17,1.0,2.0,23.33,2.17,12.67,3.5,0.28,0.08,0.29,3.5,0.5,42,e2d8892c,1.87,1.5,3.38,1.75,3.25,22.37,3.5,12.38,5.12,0.41,0.14,0.34,1.25,0.74,35
de Bayern Munich,cz Viktoria Plzeň,5,0,1,054efa67,2.1,1.9,4.0,2.0,3.9,30.2,3.9,16.7,7.2,0.43,0.12,0.28,0.6,0.83,36,02cd81bf,0.83,0.67,1.5,0.67,1.33,18.67,1.67,11.17,3.17,0.28,0.06,0.21,4.0,0.56,55
fr Marseille,pt Sporting CP,4,1,1,5725cc7b,1.33,1.0,2.33,1.17,2.17,23.17,1.83,13.17,3.83,0.29,0.09,0.3,1.33,0.6,20,13dc44fd,1.33,0.83,2.17,1.33,2.17,12.5,2.5,7.5,3.5,0.47,0.18,0.38,1.51,0.76,29
eng Liverpool,sct Rangers,2,0,1,822bd0ba,2.37,1.87,4.25,2.25,4.12,27.75,3.87,15.75,6.87,0.44,0.14,0.33,1.5,0.61,28,86b7acd2,0.33,0.17,0.5,0.17,0.33,11.67,0.67,7.17,1.67,0.23,0.02,0.1,3.67,0.61,51
pt Porto,de Leverkusen,2,0,1,5e876ee6,1.5,0.87,2.37,1.13,2.0,24.12,2.25,13.87,4.75,0.34,0.08,0.24,1.0,0.82,38,c7a9f859,0.67,0.67,1.33,0.67,1.33,23.83,1.33,13.5,4.5,0.33,0.05,0.15,1.33,0.75,24
de Eint Frankfurt,eng Tottenham,0,0,0,f0ac8ee6,0.87,0.62,1.5,0.75,1.37,16.12,1.5,9.37,3.25,0.35,0.08,0.23,1.62,0.73,41,361ca564,1.0,0.87,1.87,0.87,1.75,22.12,1.87,11.87,3.62,0.3,0.07,0.24,0.87,0.77,30
it Inter,es Barcelona,1,0,1,d609edc0,1.46,1.31,2.77,1.38,2.69,21.62,2.69,12.77,4.77,0.37,0.11,0.29,0.85,0.81,57,206d90db,2.0,1.67,3.67,2.0,3.67,27.67,3.83,15.0,5.5,0.37,0.13,0.36,2.0,0.63,30
nl Ajax,it Napoli,1,6,2,19c3f8c4,1.83,1.5,3.33,1.67,3.17,18.33,3.33,10.67,3.67,0.34,0.16,0.45,2.67,0.62,37,d48ad4ff,2.6,2.0,4.6,2.2,4.2,31.5,4.7,16.7,6.3,0.38,0.13,0.35,0.8,0.77,30
be Club Brugge,es Atlético Madrid,2,0,1,f1e6c5f1,1.0,0.87,1.87,0.87,1.75,14.63,1.87,8.37,2.5,0.3,0.1,0.35,1.37,0.8,45,db3b9613,0.67,0.5,1.17,0.67,1.17,28.0,1.17,15.83,5.67,0.36,0.04,0.12,1.5,0.7,27
de RB Leipzig,sct Celtic,3,1,1,acbb6a5b,1.62,1.5,3.12,1.62,3.12,19.5,2.62,11.0,4.25,0.39,0.15,0.38,2.12,0.62,39,b81aa4fa,0.5,0.17,0.67,0.5,0.67,23.5,0.83,13.67,4.83,0.35,0.04,0.1,2.5,0.58,31
at RB Salzburg,hr Dinamo Zagreb,1,0,1,50f2a074,0.83,0.5,1.33,0.67,1.17,22.33,1.5,14.0,4.5,0.32,0.05,0.15,1.5,0.7,30,edd0d381,0.67,0.33,1.0,0.67,1.0,16.67,1.33,9.17,3.33,0.36,0.07,0.2,1.83,0.77,35
eng Chelsea,it Milan,3,0,1,cff3d9bb,1.2,0.7,1.9,1.0,1.7,28.3,2.0,15.2,5.1,0.34,0.07,0.2,0.9,0.76,37,dc56fe14,1.17,0.75,1.92,1.0,1.75,20.17,2.08,11.25,3.5,0.31,0.09,0.29,0.92,0.81,52
pt Benfica,fr Paris S-G,1,1,0,a77c513e,2.5,1.6,4.1,2.0,3.6,25.4,4.7,13.3,4.8,0.36,0.15,0.42,1.3,0.68,31,e2d8892c,1.87,1.5,3.38,1.75,3.25,22.37,3.5,12.38,5.12,0.41,0.14,0.34,1.25,0.74,35
eng Manchester City,dk FC Copenhagen,5,0,1,b8fd03ef,2.38,1.77,4.15,2.23,4.0,28.08,4.0,15.08,6.54,0.43,0.15,0.34,0.38,0.89,37,18050b20,0.17,0.17,0.33,0.17,0.33,15.0,0.17,9.0,2.67,0.3,0.02,0.06,2.0,0.71,38
es Real Madrid,ua Shakhtar,2,1,1,53a2f082,2.17,1.75,3.92,1.92,3.67,27.92,3.75,15.33,6.17,0.4,0.13,0.31,1.08,0.78,58,e89d5a28,1.33,1.17,2.5,1.33,2.5,13.33,2.33,7.5,2.5,0.33,0.18,0.53,1.67,0.74,38
es Sevilla,de Dortmund,1,4,2,ad2be733,1.0,0.83,1.83,1.0,1.83,19.83,1.5,11.33,4.0,0.35,0.09,0.25,2.0,0.6,30,add600ae,1.37,1.25,2.62,1.37,2.62,21.12,2.62,12.12,3.38,0.28,0.11,0.41,0.87,0.83,36
it Juventus,il Maccabi Haifa,3,1,1,e0652b02,1.5,1.33,2.83,1.5,2.83,23.33,2.67,13.0,4.17,0.32,0.12,0.36,2.17,0.66,32,187832f5,1.17,1.0,2.17,1.0,2.0,23.33,2.17,12.67,3.5,0.28,0.08,0.29,3.5,0.5,42
dk FC Copenhagen,eng Manchester City,0,0,0,18050b20,0.17,0.17,0.33,0.17,0.33,15.0,0.17,9.0,2.67,0.3,0.02,0.06,2.0,0.71,38,b8fd03ef,2.38,1.77,4.15,2.23,4.0,28.08,4.0,15.08,6.54,0.43,0.15,0.34,0.38,0.89,37
il Maccabi Haifa,it Juventus,2,0,1,187832f5,1.17,1.0,2.17,1.0,2.0,23.33,2.17,12.67,3.5,0.28,0.08,0.29,3.5,0.5,42,e0652b02,1.5,1.33,2.83,1.5,2.83,23.33,2.67,13.0,4.17,0.32,0.12,0.36,2.17,0.66,32
sct Celtic,de RB Leipzig,0,2,2,b81aa4fa,0.5,0.17,0.67,0.5,0.67,23.5,0.83,13.67,4.83,0.35,0.04,0.1,2.5,0.58,31,acbb6a5b,1.62,1.5,3.12,1.62,3.12,19.5,2.62,11.0,4.25,0.39,0.15,0.38,2.12,0.62,39
de Dortmund,es Sevilla,1,1,0,add600ae,1.37,1.25,2.62,1.37,2.62,21.12,2.62,12.12,3.38,0.28,0.11,0.41,0.87,0.83,36,ad2be733,1.0,0.83,1.83,1.0,1.83,19.83,1.5,11.33,4.0,0.35,0.09,0.25,2.0,0.6,30
fr Paris S-G,pt Benfica,1,1,0,e2d8892c,1.87,1.5,3.38,1.75,3.25,22.37,3.5,12.38,5.12,0.41,0.14,0.34,1.25,0.74,35,a77c513e,2.5,1.6,4.1,2.0,3.6,25.4,4.7,13.3,4.8,0.36,0.15,0.42,1.3,0.68,31
it Milan,eng Chelsea,0,2,2,dc56fe14,1.17,0.75,1.92,1.0,1.75,20.17,2.08,11.25,3.5,0.31,0.09,0.29,0.92,0.81,52,cff3d9bb,1.2,0.7,1.9,1.0,1.7,28.3,2.0,15.2,5.1,0.34,0.07,0.2,0.9,0.76,37
hr Dinamo Zagreb,at RB Salzburg,1,1,0,edd0d381,0.67,0.33,1.0,0.67,1.0,16.67,1.33,9.17,3.33,0.36,0.07,0.2,1.83,0.77,35,50f2a074,0.83,0.5,1.33,0.67,1.17,22.33,1.5,14.0,4.5,0.32,0.05,0.15,1.5,0.7,30
ua Shakhtar,es Real Madrid,1,1,0,e89d5a28,1.33,1.17,2.5,1.33,2.5,13.33,2.33,7.5,2.5,0.33,0.18,0.53,1.67,0.74,38,53a2f082,2.17,1.75,3.92,1.92,3.67,27.92,3.75,15.33,6.17,0.4,0.13,0.31,1.08,0.78,58
it Napoli,nl Ajax,4,2,1,d48ad4ff,2.6,2.0,4.6,2.2,4.2,31.5,4.7,16.7,6.3,0.38,0.13,0.35,0.8,0.77,30,19c3f8c4,1.83,1.5,3.33,1.67,3.17,18.33,3.33,10.67,3.67,0.34,0.16,0.45,2.67,0.62,37
es Atlético Madrid,be Club Brugge,0,0,0,db3b9613,0.67,0.5,1.17,0.67,1.17,28.0,1.17,15.83,5.67,0.36,0.04,0.12,1.5,0.7,27,f1e6c5f1,1.0,0.87,1.87,0.87,1.75,14.63,1.87,8.37,2.5,0.3,0.1,0.35,1.37,0.8,45
pt Sporting CP,fr Marseille,0,2,2,13dc44fd,1.33,0.83,2.17,1.33,2.17,12.5,2.5,7.5,3.5,0.47,0.18,0.38,1.51,0.76,29,5725cc7b,1.33,1.0,2.33,1.17,2.17,23.17,1.83,13.17,3.83,0.29,0.09,0.3,1.33,0.6,20
sct Rangers,eng Liverpool,1,7,2,86b7acd2,0.33,0.17,0.5,0.17,0.33,11.67,0.67,7.17,1.67,0.23,0.02,0.1,3.67,0.61,51,822bd0ba,2.37,1.87,4.25,2.25,4.12,27.75,3.87,15.75,6.87,0.44,0.14,0.33,1.5,0.61,28
eng Tottenham,de Eint Frankfurt,3,2,1,361ca564,1.0,0.87,1.87,0.87,1.75,22.12,1.87,11.87,3.62,0.3,0.07,0.24,0.87,0.77,30,f0ac8ee6,0.87,0.62,1.5,0.75,1.37,16.12,1.5,9.37,3.25,0.35,0.08,0.23,1.62,0.73,41
cz Viktoria Plzeň,de Bayern Munich,2,4,2,02cd81bf,0.83,0.67,1.5,0.67,1.33,18.67,1.67,11.17,3.17,0.28,0.06,0.21,4.0,0.56,55,054efa67,2.1,1.9,4.0,2.0,3.9,30.2,3.9,16.7,7.2,0.43,0.12,0.28,0.6,0.83,36
de Leverkusen,pt Porto,0,3,2,c7a9f859,0.67,0.67,1.33,0.67,1.33,23.83,1.33,13.5,4.5,0.33,0.05,0.15,1.33,0.75,24,5e876ee6,1.5,0.87,2.37,1.13,2.0,24.12,2.25,13.87,4.75,0.34,0.08,0.24,1.0,0.82,38
es Barcelona,it Inter,3,3,0,206d90db,2.0,1.67,3.67,2.0,3.67,27.67,3.83,15.0,5.5,0.37,0.13,0.36,2.0,0.63,30,d609edc0,1.46,1.31,2.77,1.38,2.69,21.62,2.69,12.77,4.77,0.37,0.11,0.29,0.85,0.81,57
es Sevilla,dk FC Copenhagen,3,0,1,ad2be733,1.0,0.83,1.83,1.0,1.83,19.83,1.5,11.33,4.0,0.35,0.09,0.25,2.0,0.6,30,18050b20,0.17,0.17,0.33,0.17,0.33,15.0,0.17,9.0,2.67,0.3,0.02,0.06,2.0,0.71,38
at RB Salzburg,eng Chelsea,1,2,2,50f2a074,0.83,0.5,1.33,0.67,1.17,22.33,1.5,14.0,4.5,0.32,0.05,0.15,1.5,0.7,30,cff3d9bb,1.2,0.7,1.9,1.0,1.7,28.3,2.0,15.2,5.1,0.34,0.07,0.2,0.9,0.76,37
pt Benfica,it Juventus,4,3,1,a77c513e,2.5,1.6,4.1,2.0,3.6,25.4,4.7,13.3,4.8,0.36,0.15,0.42,1.3,0.68,31,e0652b02,1.5,1.33,2.83,1.5,2.83,23.33,2.67,13.0,4.17,0.32,0.12,0.36,2.17,0.66,32
sct Celtic,ua Shakhtar,1,1,0,b81aa4fa,0.5,0.17,0.67,0.5,0.67,23.5,0.83,13.67,4.83,0.35,0.04,0.1,2.5,0.58,31,e89d5a28,1.33,1.17,2.5,1.33,2.5,13.33,2.33,7.5,2.5,0.33,0.18,0.53,1.67,0.74,38
fr Paris S-G,il Maccabi Haifa,7,2,1,e2d8892c,1.87,1.5,3.38,1.75,3.25,22.37,3.5,12.38,5.12,0.41,0.14,0.34,1.25,0.74,35,187832f5,1.17,1.0,2.17,1.0,2.0,23.33,2.17,12.67,3.5,0.28,0.08,0.29,3.5,0.5,42
de Dortmund,eng Manchester City,0,0,0,add600ae,1.37,1.25,2.62,1.37,2.62,21.12,2.62,12.12,3.38,0.28,0.11,0.41,0.87,0.83,36,b8fd03ef,2.38,1.77,4.15,2.23,4.0,28.08,4.0,15.08,6.54,0.43,0.15,0.34,0.38,0.89,37
de RB Leipzig,es Real Madrid,3,2,1,acbb6a5b,1.62,1.5,3.12,1.62,3.12,19.5,2.62,11.0,4.25,0.39,0.15,0.38,2.12,0.62,39,53a2f082,2.17,1.75,3.92,1.92,3.67,27.92,3.75,15.33,6.17,0.4,0.13,0.31,1.08,0.78,58
hr Dinamo Zagreb,it Milan,0,4,2,edd0d381,0.67,0.33,1.0,0.67,1.0,16.67,1.33,9.17,3.33,0.36,0.07,0.2,1.83,0.77,35,dc56fe14,1.17,0.75,1.92,1.0,1.75,20.17,2.08,11.25,3.5,0.31,0.09,0.29,0.92,0.81,52
be Club Brugge,pt Porto,0,4,2,f1e6c5f1,1.0,0.87,1.87,0.87,1.75,14.63,1.87,8.37,2.5,0.3,0.1,0.35,1.37,0.8,45,5e876ee6,1.5,0.87,2.37,1.13,2.0,24.12,2.25,13.87,4.75,0.34,0.08,0.24,1.0,0.82,38
it Inter,cz Viktoria Plzeň,4,0,1,d609edc0,1.46,1.31,2.77,1.38,2.69,21.62,2.69,12.77,4.77,0.37,0.11,0.29,0.85,0.81,57,02cd81bf,0.83,0.67,1.5,0.67,1.33,18.67,1.67,11.17,3.17,0.28,0.06,0.21,4.0,0.56,55
eng Tottenham,pt Sporting CP,1,1,0,361ca564,1.0,0.87,1.87,0.87,1.75,22.12,1.87,11.87,3.62,0.3,0.07,0.24,0.87,0.77,30,13dc44fd,1.33,0.83,2.17,1.33,2.17,12.5,2.5,7.5,3.5,0.47,0.18,0.38,1.51,0.76,29
de Eint Frankfurt,fr Marseille,2,1,1,f0ac8ee6,0.87,0.62,1.5,0.75,1.37,16.12,1.5,9.37,3.25,0.35,0.08,0.23,1.62,0.73,41,5725cc7b,1.33,1.0,2.33,1.17,2.17,23.17,1.83,13.17,3.83,0.29,0.09,0.3,1.33,0.6,20
es Atlético Madrid,de Leverkusen,2,2,0,db3b9613,0.67,0.5,1.17,0.67,1.17,28.0,1.17,15.83,5.67,0.36,0.04,0.12,1.5,0.7,27,c7a9f859,0.67,0.67,1.33,0.67,1.33,23.83,1.33,13.5,4.5,0.33,0.05,0.15,1.33,0.75,24
es Barcelona,de Bayern Munich,0,3,2,206d90db,2.0,1.67,3.67,2.0,3.67,27.67,3.83,15.0,5.5,0.37,0.13,0.36,2.0,0.63,30,054efa67,2.1,1.9,4.0,2.0,3.9,30.2,3.9,16.7,7.2,0.43,0.12,0.28,0.6,0.83,36
nl Ajax,eng Liverpool,0,3,2,19c3f8c4,1.83,1.5,3.33,1.67,3.17,18.33,3.33,10.67,3.67,0.34,0.16,0.45,2.67,0.62,37,822bd0ba,2.37,1.87,4.25,2.25,4.12,27.75,3.87,15.75,6.87,0.44,0.14,0.33,1.5,0.61,28
it Napoli,sct Rangers,3,0,1,d48ad4ff,2.6,2.0,4.6,2.2,4.2,31.5,4.7,16.7,6.3,0.38,0.13,0.35,0.8,0.77,30,86b7acd2,0.33,0.17,0.5,0.17,0.33,11.67,0.67,7.17,1.67,0.23,0.02,0.1,3.67,0.61,51
pt Porto,es Atlético Madrid,2,1,1,5e876ee6,1.5,0.87,2.37,1.13,2.0,24.12,2.25,13.87,4.75,0.34,0.08,0.24,1.0,0.82,38,db3b9613,0.67,0.5,1.17,0.67,1.17,28.0,1.17,15.83,5.67,0.36,0.04,0.12,1.5,0.7,27
de Leverkusen,be Club Brugge,0,0,0,c7a9f859,0.67,0.67,1.33,0.67,1.33,23.83,1.33,13.5,4.5,0.33,0.05,0.15,1.33,0.75,24,f1e6c5f1,1.0,0.87,1.87,0.87,1.75,14.63,1.87,8.37,2.5,0.3,0.1,0.35,1.37,0.8,45
eng Liverpool,it Napoli,2,0,1,822bd0ba,2.37,1.87,4.25,2.25,4.12,27.75,3.87,15.75,6.87,0.44,0.14,0.33,1.5,0.61,28,d48ad4ff,2.6,2.0,4.6,2.2,4.2,31.5,4.7,16.7,6.3,0.38,0.13,0.35,0.8,0.77,30
sct Rangers,nl Ajax,1,3,2,86b7acd2,0.33,0.17,0.5,0.17,0.33,11.67,0.67,7.17,1.67,0.23,0.02,0.1,3.67,0.61,51,19c3f8c4,1.83,1.5,3.33,1.67,3.17,18.33,3.33,10.67,3.67,0.34,0.16,0.45,2.67,0.62,37
