Player ID,Player,Pos,Squad,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Sh/90,SoT/90,SoT%,G/Sh,G/SoT,SCA90,GCA90,GA90,Save%,SoTA
c16c4e3b,Ísak Jóhannesson,"FW,MF",dk FC Copenhagen,0.0,0.0,0.0,0.0,0.0,0.93,0.62,66.7,0.0,0.0,1.86,0.0,,,
1bacc518,Frenkie de Jong,MF,es Barcelona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.89,0.76,,,
7111d552,Vinicius Júnior,FW,es Real Madrid,0.65,0.56,1.2,0.65,1.2,3.52,1.76,50.0,0.18,0.37,4.91,0.74,,,
b825a650,Kevin Kampl,MF,de RB Leipzig,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.32,0.0,,,
23a10591,Mamoudou Karamoko,FW,dk FC Copenhagen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,
05e19d6a,Franck Kessié,MF,es Barcelona,0.33,0.0,0.33,0.33,0.33,0.99,0.66,66.7,0.33,0.5,0.99,0.0,,,
862fa9fb,Davit Khocholava,DF,dk FC Copenhagen,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,,0.21,0.0,,,
49296448,Joshua Kimmich,MF,de Bayern Munich,0.11,0.33,0.44,0.0,0.33,2.33,1.0,42.9,0.0,0.0,3.67,0.44,,,
aef6e670,Presnel Kimpembe,DF,fr Paris S-G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.61,0.0,,,
ca8033cb,Lukas Klostermann,DF,de RB Leipzig,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,
cd59b9df,Gregor Kobel,GK,de Dortmund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.57,89.5,19.0
55126f3b,Koke,MF,es Atlético Madrid,0.0,0.0,0.0,0.0,0.0,0.55,0.27,50.0,0.0,0.0,1.91,0.0,,,
cce181df,Geoffrey Kondogbia,MF,es Atlético Madrid,0.0,0.0,0.0,0.0,0.0,2.8,0.0,0.0,0.0,,3.2,0.0,,,
4d1666ff,Jules Koundé,DF,es Barcelona,0.0,0.37,0.37,0.0,0.37,0.0,0.0,,,,1.83,0.37,,,
6ce1f46f,Toni Kroos,MF,es Real Madrid,0.0,0.21,0.21,0.0,0.21,1.07,0.11,10.0,0.0,0.0,3.53,0.43,,,
dea88efd,Khvicha Kvaratskhelia,FW,it Napoli,0.26,0.52,0.78,0.13,0.65,4.55,1.43,31.4,0.03,0.09,5.72,1.04,,,
c1b7847c,Konrad Laimer,"MF,FW",de RB Leipzig,0.0,0.0,0.0,0.0,0.0,0.69,0.0,0.0,0.0,,1.72,0.0,,,
119b9a8e,Aymeric Laporte,DF,eng Manchester City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.23,0.62,,,
4dbd0916,Thomas Lemar,MF,es Atlético Madrid,0.0,0.0,0.0,0.0,0.0,0.87,0.0,0.0,0.0,,4.33,0.0,,,
1b82f8df,Lukas Lerager,MF,dk FC Copenhagen,0.0,0.0,0.0,0.0,0.0,1.4,0.8,57.1,0.0,0.0,1.2,0.0,,,
8d78e732,Robert Lewandowski,FW,es Barcelona,1.02,0.0,1.02,1.02,1.02,4.9,2.04,41.7,0.21,0.5,2.86,0.0,,,
b57e066e,Rico Lewis,DF,eng Manchester City,0.76,0.0,0.76,0.76,0.76,1.51,0.76,50.0,0.5,1.0,1.53,0.0,,,
d6e53a3a,Matthijs de Ligt,DF,de Bayern Munich,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,,0.73,0.0,,,
02c15616,Marcos Llorente,"MF,FW",es Atlético Madrid,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.0,,2.55,0.42,,,
e9fda01d,Danny Loader,"FW,MF",pt Porto,0.0,0.0,0.0,0.0,0.0,6.92,3.46,50.0,0.0,0.0,3.46,0.0,,,
e1cbb531,Stanislav Lobotka,MF,it Napoli,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,,2.06,0.21,,,
a69e4806,Hirving Lozano,FW,it Napoli,0.19,0.19,0.39,0.19,0.39,2.31,0.77,33.3,0.08,0.25,3.48,0.39,,,
5eae500a,Romelu Lukaku,FW,it Inter,1.46,0.49,1.95,0.97,1.46,5.35,2.92,54.5,0.18,0.33,5.35,1.46,,,
3061e1ec,Andriy Lunin,GK,es Real Madrid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,1.0,60.0,5.0
892d5bb1,Riyad Mahrez,"FW,MF",eng Manchester City,0.53,0.36,0.89,0.36,0.71,1.6,0.71,44.4,0.22,0.5,5.87,1.07,,,
