Team ID,Squad,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Sh/90,SoT/90,SoT%,G/Sh,G/SoT,SCA90,GCA90,GA90,Save%,SoTA
db3b9613,es Atlético Madrid,0.67,0.5,1.17,0.67,1.17,15.83,5.67,35.8,0.04,0.12,28.0,1.17,1.5,70.4,27
206d90db,es Barcelona,2.0,1.67,3.67,2.0,3.67,15.0,5.5,36.7,0.13,0.36,27.67,3.83,2.0,63.3,30
054efa67,de Bayern Munich,2.1,1.9,4.0,2.0,3.9,16.7,7.2,43.1,0.12,0.28,30.2,3.9,0.6,83.3,36
add600ae,de Dortmund,1.37,1.25,2.62,1.37,2.62,12.12,3.38,27.8,0.11,0.41,21.12,2.62,0.87,83.3,36
18050b20,dk FC Copenhagen,0.17,0.17,0.33,0.17,0.33,9.0,2.67,29.6,0.02,0.06,15.0,0.17,2.0,71.1,38
d609edc0,it Inter,1.46,1.31,2.77,1.38,2.69,12.77,4.77,37.3,0.11,0.29,21.62,2.69,0.85,80.7,57
b8fd03ef,eng Manchester City,2.38,1.77,4.15,2.23,4.0,15.08,6.54,43.4,0.15,0.34,28.08,4.0,0.38,89.2,37
d48ad4ff,it Napoli,2.6,2.0,4.6,2.2,4.2,16.7,6.3,37.7,0.13,0.35,31.5,4.7,0.8,76.7,30
e2d8892c,fr Paris S-G,1.87,1.5,3.38,1.75,3.25,12.38,5.12,41.4,0.14,0.34,22.37,3.5,1.25,74.3,35
5e876ee6,pt Porto,1.5,0.87,2.37,1.13,2.0,13.87,4.75,34.2,0.08,0.24,24.12,2.25,1.0,81.6,38
acbb6a5b,de RB Leipzig,1.62,1.5,3.12,1.62,3.12,11.0,4.25,38.6,0.15,0.38,19.5,2.62,2.12,61.5,39
53a2f082,es Real Madrid,2.17,1.75,3.92,1.92,3.67,15.33,6.17,40.2,0.13,0.31,27.92,3.75,1.08,77.6,58
