goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,successfulDribblesPercentage,tackles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,player,team
3,0,0,101,57.39,5,25.0,24,55.81,43,2,82.84,106,54.08,1345,34,16,26,23,0,0,0,7,5,0,0,0,0,161,7,502,23,4,14.29,18,66.67,10,14,17,2,30,14,12,10.0,0,5,2.65,0,0,1,Samuel Lino,Atlético Madrid
1,1,0,45,51.72,58,63.04,10,62.5,26,2,91.39,103,57.54,1971,9,16,8,24,0,0,0,25,3,0,0,0,0,317,4,1539,13,9,33.33,72,61.02,17,64,14,1,18,5,6,5.56,0,2,1.89,0,4,0,Jules Koundé,Barcelona
5,3,0,84,50.0,7,50.0,22,37.29,17,2,83.9,91,50.0,1151,45,15,23,20,0,0,0,12,2,0,0,0,0,166,5,370,14,1,6.67,9,56.25,8,6,10,4,44,19,11,11.36,3,7,6.12,0,0,0,João Félix,Barcelona
0,5,0,115,61.5,12,54.55,21,56.76,50,1,91.13,127,60.77,1207,44,34,18,20,0,0,0,11,0,0,0,0,0,192,1,771,15,3,75.0,30,71.43,19,11,9,0,10,3,4,0.0,0,0,0.43,0,1,0,Eduardo Camavinga,Real Madrid
3,7,0,94,48.96,105,58.99,16,59.26,39,3,77.24,199,53.78,1585,41,49,28,22,0,0,0,13,2,0,0,0,0,208,4,638,16,4,30.77,33,68.75,9,38,15,3,22,7,3,13.64,0,4,2.69,0,3,0,Mikel Merino,Real Sociedad
4,6,0,93,44.71,20,38.46,17,45.95,34,3,80.63,113,43.46,1894,43,46,26,25,0,0,0,21,3,0,0,0,0,225,6,695,29,19,22.35,36,52.94,8,14,26,0,51,12,16,7.84,4,3,2.87,0,0,1,Brais Méndez,Real Sociedad
1,5,0,74,53.24,13,33.33,12,60.0,39,1,91.44,87,48.88,943,23,31,11,12,0,0,0,9,2,0,0,0,0,127,2,481,11,2,25.0,17,73.91,8,15,18,1,9,4,1,11.11,1,4,0.95,1,0,0,Gavi,Barcelona
0,2,0,1,100.0,3,100.0,0,0.0,0,0,89.56,4,100.0,1530,1,0,0,17,43,29,14,14,3,7,1,8,1,7,0,489,0,0,0.0,96,65.75,0,11,0,0,0,0,0,0.0,0,0,0.0,1,0,0,Marc-André ter Stegen,Barcelona
12,4,0,63,48.84,39,50.0,16,42.11,6,5,71.99,102,49.28,2039,41,19,22,25,0,0,0,22,5,0,0,0,0,127,5,293,20,2,18.18,9,52.94,5,15,5,17,73,31,23,16.44,0,18,15.14,0,0,0,Robert Lewandowski,Barcelona
4,0,0,77,53.1,1,14.29,30,56.6,20,2,86.49,78,51.32,966,27,16,24,22,0,0,0,3,1,0,0,0,0,190,7,365,17,12,48.0,8,53.33,3,1,6,2,21,9,4,19.05,1,4,3.32,0,0,0,Brahim Díaz,Real Madrid
