goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,successfulDribblesPercentage,tackles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,player,team
3,0,0,36,45.0,6,33.33,14,41.18,12,4,79.39,42,42.86,832,11,6,13,13,0,0,0,14,2,0,0,0,0,95,6,285,17,6,40.0,21,61.76,9,7,5,1,19,7,5,15.79,0,1,1.14,0,0,0,Dani Olmo,RB Leipzig
1,0,0,35,50.72,18,45.0,5,50.0,19,7,78.55,53,48.62,956,11,8,12,22,0,0,0,7,4,0,0,0,0,179,13,315,40,9,24.32,4,28.57,1,3,11,4,17,7,5,5.88,1,6,2.8,0,0,1,Thomas Müller,FC Bayern München
0,3,0,39,57.35,16,45.71,7,43.75,23,3,89.56,55,53.4,1004,9,10,6,14,0,0,0,10,1,0,0,0,0,204,5,652,14,3,18.75,17,58.62,18,17,5,1,10,2,5,0.0,1,0,0.82,1,0,0,Noussair Mazraoui,FC Bayern München
0,2,1,77,74.76,18,60.0,16,100.0,33,0,83.42,95,71.43,1026,29,15,3,15,0,0,0,16,1,0,0,0,0,137,1,619,6,2,9.52,30,50.85,16,29,10,3,15,0,3,0.0,0,0,1.76,0,0,0,Ramy Bensebaini,Borussia Dortmund
2,5,0,32,50.0,6,33.33,2,50.0,20,2,92.25,38,46.34,731,10,13,7,12,0,0,0,9,2,0,0,0,0,110,2,500,9,9,56.25,16,76.19,9,5,11,0,8,2,4,25.0,0,0,1.24,0,0,0,Aleksandar Pavlović,FC Bayern München
2,3,0,64,53.78,5,22.73,10,45.45,34,2,81.85,69,48.94,1560,20,13,12,19,0,0,0,21,2,0,0,0,0,197,5,645,21,6,22.22,24,42.86,9,27,19,1,36,14,12,5.56,2,1,2.36,0,0,0,Marcel Sabitzer,Borussia Dortmund
0,0,0,26,56.52,0,0.0,18,52.94,2,1,83.56,26,56.52,428,6,3,2,7,0,0,0,4,1,0,0,0,0,96,1,183,9,2,33.33,3,75.0,1,4,0,3,5,1,2,0.0,0,1,0.51,0,0,0,Jadon Sancho,Borussia Dortmund
0,2,0,72,51.8,11,40.74,19,50.0,42,2,90.02,83,50.0,1321,11,24,12,20,0,0,0,11,2,0,0,0,0,289,3,893,20,8,30.77,14,60.87,15,10,15,1,13,4,3,0.0,0,1,0.79,0,1,0,Konrad Laimer,FC Bayern München
1,7,0,69,62.73,52,61.9,7,63.64,42,1,86.83,121,62.37,1770,21,25,6,23,0,0,0,25,2,0,0,0,0,153,1,1147,7,0,0.0,52,45.22,23,58,9,1,22,8,4,4.55,0,3,2.92,0,0,0,Mohamed Simakan,RB Leipzig
0,5,0,91,52.3,15,46.88,15,68.18,58,3,87.97,106,51.46,1853,18,28,23,21,0,0,0,27,1,0,0,0,0,249,2,1111,19,4,36.36,53,65.43,16,14,26,1,12,1,4,0.0,0,2,0.69,0,0,0,Xaver Schlager,RB Leipzig
0,1,0,18,60.0,33,68.75,1,100.0,10,0,86.88,51,65.38,689,7,12,0,9,0,0,0,8,1,0,0,0,0,25,1,563,1,0,0.0,26,44.07,7,40,4,1,3,2,0,0.0,0,0,0.16,0,0,0,Willi Orbán,RB Leipzig
1,3,0,75,59.06,27,57.45,9,47.37,48,2,85.97,102,58.62,1441,19,19,13,19,0,0,0,17,2,0,0,0,0,153,1,944,17,0,0.0,51,52.04,18,32,11,1,9,1,3,11.11,0,0,1.07,1,1,0,Emre Can,Borussia Dortmund
1,1,1,39,54.93,34,66.67,4,50.0,28,0,93.12,73,59.84,1393,7,16,2,19,0,0,0,16,2,0,0,0,0,166,1,1339,5,1,33.33,49,70.0,15,38,12,2,10,4,1,10.0,0,2,1.62,1,1,0,Dayot Upamecano,FC Bayern München
2,2,0,32,60.38,1,25.0,12,66.67,16,0,89.42,33,57.89,873,4,3,6,14,0,0,0,11,3,0,0,0,0,195,2,617,12,8,33.33,15,65.22,14,5,6,1,14,3,5,14.29,0,0,1.15,0,1,0,Raphaël Guerreiro,FC Bayern München
0,0,0,1,100.0,0,0.0,0,0.0,1,0,82.03,1,100.0,424,0,0,0,5,10,8,2,4,1,4,2,0,2,3,0,178,0,0,0.0,33,46.48,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Alexander Meyer,Borussia Dortmund
3,3,0,54,54.0,6,40.0,7,35.0,30,1,87.65,60,52.17,1232,18,14,11,14,0,0,0,16,2,0,0,0,0,124,4,582,10,7,20.59,20,51.28,8,22,10,1,12,5,3,25.0,0,0,1.36,0,3,0,Julian Ryerson,Borussia Dortmund
2,5,0,15,55.56,30,56.6,2,100.0,10,0,93.56,45,56.25,916,3,11,2,15,0,0,0,11,0,0,0,0,0,85,0,712,2,0,0.0,21,53.85,13,37,1,2,12,7,3,16.67,0,0,1.67,0,0,0,Matthijs de Ligt,FC Bayern München
0,2,0,35,62.5,16,84.21,5,62.5,13,2,83.14,51,68.0,604,18,7,6,10,0,0,0,8,0,0,0,0,0,58,0,212,7,0,0.0,12,75.0,8,11,5,1,15,0,8,0.0,2,0,0.95,0,0,0,Felix Nmecha,Borussia Dortmund
0,1,0,1,100.0,3,50.0,1,100.0,0,0,83.83,4,57.14,1440,0,1,0,16,40,28,12,18,3,5,4,3,4,11,0,451,0,0,0.0,84,50.3,0,13,0,0,0,0,0,0.0,0,0,0.0,1,1,0,Manuel Neuer,FC Bayern München
1,0,0,15,50.0,14,53.85,1,50.0,13,0,92.29,29,51.79,1110,1,5,6,18,0,0,0,12,0,0,0,0,0,93,0,1005,4,1,50.0,64,68.82,17,42,3,0,7,1,4,14.29,0,0,0.44,1,1,0,Niklas Süle,Borussia Dortmund
0,0,0,6,60.0,16,66.67,0,0.0,1,0,90.4,22,64.71,506,5,6,0,7,0,0,0,7,2,0,0,0,0,46,0,452,1,1,14.29,21,51.22,6,22,0,0,3,1,2,0.0,0,1,0.15,0,0,0,Eric Dier,FC Bayern München
4,2,0,38,47.5,12,66.67,24,58.54,6,3,81.73,50,51.02,498,8,8,16,20,0,0,0,8,2,0,0,0,0,89,4,170,7,5,45.45,4,66.67,3,4,1,1,28,10,10,14.29,2,2,1.96,0,0,0,Mathys Tel,FC Bayern München
2,4,1,43,55.84,27,64.29,2,33.33,34,0,89.19,70,58.82,1023,7,11,4,17,0,0,0,16,1,0,0,0,0,84,0,825,6,0,0.0,81,73.64,25,53,16,3,10,3,1,20.0,0,0,2.54,0,0,0,Mats Hummels,Borussia Dortmund
0,0,0,2,100.0,7,77.78,0,0.0,1,0,85.73,9,81.82,1800,2,0,0,20,43,25,17,26,2,13,12,13,13,11,0,709,1,0,0.0,93,45.81,0,19,0,0,0,0,0,0.0,0,0,0.0,3,0,0,Janis Blaswich,RB Leipzig
